t Pi r1 r2
148400 3.146234 2.818681 0.756730
148500 3.146386 3.119653 0.793685
148600 3.146372 1.538940 0.427630
148700 3.146424 2.510954 0.562789
148800 3.146543 1.319066 0.898679
148900 3.146495 1.121994 0.188488
149000 3.146447 2.289349 0.684584
149100 3.146399 0.658523 0.756692
149200 3.146518 0.143903 0.486668
149300 3.146503 2.157954 0.147295
149400 3.146323 0.393300 0.638165
149500 3.146242 0.117560 0.777105
149600 3.146360 1.543930 0.380257
149700 3.146379 1.811956 0.719807
149800 3.146133 2.390759 0.204851
149900 3.146384 2.133008 0.494756
150000 3.146336 2.826423 0.459511
150100 3.146355 0.921424 0.498256
150200 3.146176 3.044158 0.404211
150300 3.146557 0.842761 0.901924
150400 3.146279 1.868698 0.696118
150500 3.146199 0.165797 0.361534
150600 3.146316 3.070343 0.593649
150700 3.146368 2.504383 0.036011
150800 3.146452 1.496650 0.850996
150900 3.146405 1.125201 0.263386
151000 3.146489 2.841954 0.676327
151100 3.146409 2.826804 0.572915
151200 3.146559 0.385565 0.151994
151300 3.146871 0.450108 0.578336
151400 3.146857 1.338673 0.058385
151500 3.146712 3.090584 0.559154
151600 3.146599 3.066134 0.476882
151700 3.146683 2.671244 0.261226
151800 3.146538 1.502598 0.119719
151900 3.146589 1.660131 0.691882
152000 3.146444 0.640995 0.593737
152100 3.146593 2.996911 0.192769
152200 3.146448 1.630270 0.766442
152300 3.146467 0.915521 0.679210
152400 3.146452 2.538259 0.377395
152500 3.146374 1.564358 0.971860
152600 3.146035 1.003292 0.139421
152700 3.146054 2.410836 0.821923
152800 3.146104 2.515794 0.858634
152900 3.146058 1.893314 0.724460
153000 3.146141 3.031039 0.188744
153100 3.146160 2.799775 0.656347
153200 3.146114 2.583558 0.973522
153300 3.146003 1.028683 0.782255
153400 3.145892 2.294737 0.497591
153500 3.145975 0.116239 0.784813
153600 3.145994 2.851022 0.818680
153700 3.145948 1.636462 0.158573
153800 3.145998 1.256584 0.950116
153900 3.145824 2.978361 0.042422
154000 3.145617 1.107270 0.552503
154100 3.145540 1.843192 0.046722
154200 3.145238 1.119901 0.650115
154300 3.145481 3.110210 0.100004
154400 3.145692 1.090540 0.173468
154500 3.145743 3.138052 0.902094
154600 3.145729 0.805642 0.302324
154700 3.145972 1.664118 0.168319
154800 3.145926 1.348060 0.254617
154900 3.146040 0.435241 0.368849
155000 3.145867 1.451893 0.558555
155100 3.145981 0.778320 0.036548
155200 3.145935 0.857338 0.261858
155300 3.146113 1.852280 0.118157
155400 3.146004 0.095248 0.155495
155500 3.146117 2.271545 0.816482
155600 3.146199 1.578360 0.650895
155700 3.146503 0.644900 0.953087
155800 3.146648 2.482661 0.058264
155900 3.146920 0.006336 0.935450
156000 3.147128 2.076848 0.053331
156100 3.147209 3.133757 0.059292
156200 3.147227 0.730479 0.294988
156300 3.147339 0.105180 0.546103
156400 3.147261 0.066384 0.234946
156500 3.147152 2.697927 0.075453
156600 3.146790 2.636619 0.407674
156700 3.146839 2.828617 0.692637
156800 3.146762 3.117107 0.735556
156900 3.146937 0.936942 0.547856
157000 3.146829 1.573508 0.368237
157100 3.146878 1.174046 0.028239
157200 3.146769 0.591590 0.128414
157300 3.146787 2.608690 0.528093
157400 3.146710 0.448399 0.857143
157500 3.146979 1.309915 0.032739
157600 3.146902 1.172689 0.336705
157700 3.147014 0.999358 0.255196
157800 3.147188 0.898008 0.230560
157900 3.147080 0.494296 0.832043
158000 3.147003 2.120723 0.930398
158100 3.147365 2.684753 0.655192
158200 3.147476 2.262225 0.713741
158300 3.147274 0.273263 0.362762
158400 3.147447 1.463561 0.044723
158500 3.147683 2.004480 0.754491
158600 3.147606 1.654640 0.405626
158700 3.147623 0.724644 0.902772
158800 3.147609 1.423218 0.803801
158900 3.147407 1.574033 0.565522
159000 3.147393 1.785614 0.564822
159100 3.147441 2.662471 0.362298
159200 3.147583 0.954790 0.699350
159300 3.147661 1.437618 0.267722
159400 3.147927 1.519675 0.618644
159500 3.148037 3.015425 0.542855
159600 3.147898 0.173575 0.537305
159700 3.147635 1.470142 0.730448
159800 3.147745 0.241192 0.402552
159900 3.147855 2.921894 0.212758
160000 3.147809 2.728749 0.210182
160100 3.147888 2.532379 0.543220
160200 3.147842 1.654213 0.056612
160300 3.148014 0.673552 0.494154
160400 3.147845 3.047591 0.150426
160500 3.147861 2.634138 0.420823
160600 3.147816 1.012724 0.944032
160700 3.147648 2.306568 0.827465
160800 3.147603 0.459609 0.213266
160900 3.147373 1.529038 0.881557
161000 3.147267 1.161108 0.731771
161100 3.147284 1.311417 0.699099
161200 3.147485 2.504736 0.504478
161300 3.147778 2.943534 0.355369
161400 3.147948 1.329804 0.074203
161500 3.148179 1.357044 0.417498
161600 3.148287 0.214418 0.731975
161700 3.148180 2.583797 0.257083
161800 3.148595 1.335711 0.391256
161900 3.148795 1.016533 0.087206
162000 3.148749 2.894769 0.032380
162100 3.148551 2.181424 0.152305
162200 3.148720 0.447713 0.603957
162300 3.148552 2.453345 0.173286
162400 3.148599 2.303582 0.881189
162500 3.148584 3.125000 0.033944
162600 3.148386 1.000022 0.985807
162700 3.148250 1.583260 0.349992
162800 3.148053 0.762530 0.136153
162900 3.147948 1.528983 0.380978
163000 3.147903 2.936005 0.418354
163100 3.148010 0.019279 0.209892
163200 3.147996 1.158036 0.092609
163300 3.147830 2.403817 0.096560
163400 3.147786 0.141069 0.617323
163500 3.147681 2.593816 0.388465
163600 3.147607 2.476138 0.655636
163700 3.147472 2.194407 0.027462
163800 3.147397 1.177613 0.912222
163900 3.147384 1.669295 0.326499
164000 3.147430 2.296117 0.581378
164100 3.147386 0.744045 0.144739
164200 3.147342 1.471278 0.168902
164300 3.147630 3.113432 0.265649
164400 3.147466 1.157775 0.164430
164500 3.147542 2.130013 0.633382
164600 3.147558 0.572204 0.339139
164700 3.147455 0.219826 0.109352
164800 3.147501 0.368784 0.197910
164900 3.147517 2.342374 0.874999
165000 3.147473 1.834416 0.059723
165100 3.147580 3.086368 0.575157
165200 3.147326 1.697398 0.467770
165300 3.147073 3.025760 0.681474
165400 3.147000 1.630124 0.489521
165500 3.146867 1.798412 0.227555
165600 3.146913 2.830928 0.000126
165700 3.147198 3.006880 0.273259
165800 3.147245 2.893395 0.851828
165900 3.147052 1.506266 0.745382
166000 3.147009 0.391955 0.439176
166100 3.146668 0.374470 0.149627
166200 3.146863 1.801301 0.464063
166300 3.147028 2.474694 0.138028
166400 3.147015 1.379631 0.356123
166500 3.146794 0.672401 0.103583
166600 3.146899 1.100247 0.244849
166700 3.146975 2.926094 0.694546
166800 3.147140 2.990675 0.007736
166900 3.147156 2.668920 0.041281
167000 3.147202 3.091036 0.710305
167100 3.146863 1.941161 0.122184
167200 3.146761 0.739558 0.263924
167300 3.146689 2.385932 0.691724
167400 3.146824 1.243562 0.842961
167500 3.147017 2.698119 0.012936
167600 3.147093 1.376311 0.067638
167700 3.146961 0.600568 0.715518
167800 3.147096 2.534808 0.958243
167900 3.147201 0.635110 0.323433
168000 3.147158 1.688726 0.737798
168100 3.147145 0.709399 0.653147
168200 3.147161 1.815282 0.051890
168300 3.147177 0.405231 0.696544
168400 3.147046 1.903531 0.050905
168500 3.147033 0.059339 0.882927
168600 3.147137 0.528983 0.592590
168700 3.147241 1.569395 0.185630
168800 3.147639 0.423760 0.024765
168900 3.147537 1.598398 0.231577
169000 3.147348 0.802016 0.343677
169100 3.147247 1.237213 0.897087
169200 3.147409 2.228384 0.259613
169300 3.147484 0.800051 0.294354
169400 3.147382 3.048849 0.423842
169500 3.147223 1.638964 0.365617
169600 3.147035 1.515777 0.550864
169700 3.146992 0.951512 0.992756
169800 3.147038 2.995629 0.125226
169900 3.147171 0.108539 0.485524
170000 3.147041 0.821580 0.471416
170100 3.146970 0.858495 0.411805
170200 3.147015 1.782978 0.876189
170300 3.147002 1.199307 0.297615
170400 3.146960 1.434283 0.657359
170500 3.146889 1.112862 0.465320
170600 3.146818 0.094268 0.986021
170700 3.146921 1.066615 0.638158
170800 3.147198 2.255369 0.987168
170900 3.147359 1.585905 0.207007
171000 3.147346 2.955599 0.972573
171100 3.147332 0.185873 0.057965
171200 3.147203 2.233018 0.365926
171300 3.147306 1.882747 0.315801
171400 3.147091 1.542494 0.820995
171500 3.147280 1.050542 0.680491
171600 3.147411 1.337135 0.095645
171700 3.147138 0.064449 0.298361
171800 3.147097 2.414749 0.487598
171900 3.147314 2.128118 0.997151
172000 3.147128 1.807695 0.937396
172100 3.146914 1.660412 0.922935
172200 3.146815 0.294984 0.329585
172300 3.146860 2.903849 0.745949
172400 3.146847 2.111193 0.086238
172500 3.146834 2.547468 0.311036
172600 3.146879 0.996560 0.354469
172700 3.146636 2.056636 0.302697
172800 3.146853 2.106056 0.605928
172900 3.146869 2.582506 0.540693
173000 3.147057 0.928457 0.419857
173100 3.146901 1.178543 0.533196
173200 3.146945 2.850484 0.789435
173300 3.147047 1.598778 0.493071
173400 3.146891 2.676178 0.007245
173500 3.147135 1.873867 0.751223
173600 3.147065 1.233833 0.103927
173700 3.147110 2.235934 0.726112
173800 3.147268 3.089827 0.571470
173900 3.147340 0.157890 0.037528
174000 3.147270 0.050405 0.510343
174100 3.147286 2.656581 0.579393
174200 3.147472 1.220851 0.406070
174300 3.147403 2.580021 0.373880
174400 3.147532 1.564067 0.628623
174500 3.147263 2.215824 0.102406
174600 3.147364 1.337127 0.473199
174700 3.147266 2.198771 0.950096
174800 3.146941 2.153996 0.235210
174900 3.146900 0.903949 0.759498
175000 3.146888 1.489546 0.539547
175100 3.147073 0.695742 0.826804
175200 3.147173 1.476336 0.416335
175300 3.147330 0.664919 0.752290
175400 3.147233 0.386856 0.540835
175500 3.147220 0.499240 0.770267
175600 3.147235 0.253421 0.241106
175700 3.147110 1.709020 0.398910
175800 3.147013 2.962505 0.290662
175900 3.147282 1.615408 0.044473
176000 3.147382 1.037636 0.003266
176100 3.147481 0.180755 0.457423
176200 3.147496 2.532718 0.350681
176300 3.147540 0.782038 0.668417
176400 3.147527 1.413765 0.151530
176500 3.147682 0.558764 0.749897
176600 3.147698 0.345017 0.926218
176700 3.147685 1.786968 0.065250
176800 3.147980 1.626650 0.011355
176900 3.147715 0.500547 0.208588
177000 3.147954 2.079274 0.551383
177100 3.147773 1.697717 0.347403
177200 3.147648 2.982207 0.137821
177300 3.147887 1.809365 0.867572
177400 3.147874 0.126881 0.568874
177500 3.147917 0.806472 0.364190
177600 3.147708 2.760237 0.002874
177700 3.147696 1.583560 0.475507
177800 3.147711 2.329068 0.712103
177900 3.147753 1.291740 0.137746
178000 3.148047 1.128341 0.341750
178100 3.148173 1.852660 0.275287
178200 3.148466 0.491201 0.019795
178300 3.148313 1.286455 0.919664
178400 3.148300 2.224909 0.337940
178500 3.148315 1.008572 0.429456
178600 3.148218 0.052343 0.264047
178700 3.148094 1.987729 0.890454
178800 3.148220 0.403937 0.732929
178900 3.148401 2.820156 0.633951
179000 3.148332 0.038293 0.752282
179100 3.148485 0.560625 0.198891
179200 3.148472 2.731658 0.641288
179300 3.148597 1.296850 0.941225
179400 3.148584 1.327837 0.669935
179500 3.148515 2.376855 0.156545
179600 3.148447 1.898495 0.120075
179700 3.148241 0.211621 0.243277
179800 3.148283 2.313332 0.342924
179900 3.148352 3.110381 0.730507
180000 3.148174 1.695977 0.989752
180100 3.148216 2.167879 0.979447
180200 3.148176 1.997789 0.410755
180300 3.148080 0.991476 0.367147
180400 3.148342 0.447904 0.349554
180500 3.148356 2.404870 0.809785
180600 3.148344 1.217306 0.163060
180700 3.148413 2.175173 0.387848
180800 3.148564 0.107177 0.553728
180900 3.148469 2.988157 0.794968
181000 3.148428 1.811833 0.197204
181100 3.148415 0.954233 0.174432
181200 3.148566 1.167033 0.688663
181300 3.148198 2.793946 0.967281
181400 3.148103 0.713911 0.435939
181500 3.148036 2.231522 0.510032
181600 3.148023 2.491199 0.640248
181700 3.148065 2.141354 0.577207
181800 3.148161 2.343994 0.507968
181900 3.148175 1.001096 0.847977
182000 3.148081 1.232327 0.295995
182100 3.148041 2.648894 0.112137
182200 3.147892 0.965318 0.315520
182300 3.147771 0.711226 0.091580
182400 3.147704 0.894592 0.450502
182500 3.147474 1.633699 0.114314
182600 3.147462 0.261230 0.734934
182700 3.147368 2.104806 0.554883
182800 3.147166 0.454428 0.655254
182900 3.146829 2.047208 0.438912
183000 3.146817 2.921540 0.269781
183100 3.146724 1.812551 0.431520
183200 3.146631 0.236903 0.670317
183300 3.146484 1.425123 0.974255
183400 3.146364 2.621960 0.839176
183500 3.146406 1.698191 0.613122
183600 3.146314 2.827972 0.636317
183700 3.146383 0.891207 0.835042
183800 3.146183 1.359682 0.509710
183900 3.145956 1.539576 0.646706
184000 3.145891 0.894510 0.868293
184100 3.146148 2.472659 0.770294
184200 3.146002 1.154400 0.122682
184300 3.145856 3.119591 0.512880
184400 3.145765 0.236887 0.151151
184500 3.145673 0.378567 0.749765
184600 3.145608 0.057519 0.333010
184700 3.145704 2.764105 0.332295
184800 3.145719 2.838547 0.071851
184900 3.145441 1.118201 0.771204
185000 3.145162 0.268791 0.151291
185100 3.145151 0.227585 0.582175
185200 3.145167 2.587430 0.666532
185300 3.145209 1.982463 0.746204
185400 3.145172 0.606355 0.506556
185500 3.145267 2.929906 0.664523
185600 3.145336 1.541950 0.489349
185700 3.145352 1.839240 0.608976
185800 3.145314 3.018967 0.443394
185900 3.145277 0.330508 0.813243
186000 3.145079 2.002451 0.506432
186100 3.144936 1.770410 0.212477
186200 3.145190 2.575116 0.608912
186300 3.145127 2.666970 0.042206
186400 3.144930 0.653889 0.424672
186500 3.144946 2.271824 0.180466
186600 3.144962 0.725040 0.460317
186700 3.145030 2.259735 0.054388
186800 3.145178 0.556787 0.654892
186900 3.145300 0.305312 0.083836
187000 3.145421 2.273385 0.194492
187100 3.145463 2.571618 0.429918
187200 3.145452 1.892756 0.630665
187300 3.145547 2.174522 0.337160
187400 3.145456 2.305599 0.230738
187500 3.145472 2.413371 0.506085
187600 3.145434 0.523361 0.099983
187700 3.145608 0.460715 0.204545
187800 3.145702 0.808243 0.563821
187900 3.145507 0.442430 0.843429
188000 3.145654 2.840518 0.536870
188100 3.145722 1.764271 0.380611
188200 3.145553 3.137526 0.759984
188300 3.145621 2.194120 0.618691
188400 3.145505 1.584463 0.395830
188500 3.145546 0.887895 0.816195
188600 3.145430 0.478656 0.995920
188700 3.145419 0.003461 0.002618
188800 3.145592 2.274385 0.363678
188900 3.145502 2.980258 0.565859
189000 3.145622 2.505817 0.031749
189100 3.145533 3.118723 0.081077
189200 3.145522 0.047074 0.992308
189300 3.145433 1.746787 0.594584
189400 3.145213 0.391090 0.980883
189500 3.145020 2.725850 0.597921
189600 3.144904 0.490619 0.254402
189700 3.144920 3.024449 0.109469
189800 3.144883 0.658360 0.284041
189900 3.144951 2.119037 0.396274
190000 3.144966 2.678700 0.316202
190100 3.144956 2.222608 0.203406
190200 3.144789 1.206860 0.070064
190300 3.144857 1.623710 0.905759
190400 3.144742 0.659032 0.200538
190500 3.144628 1.881493 0.176171
190600 3.144488 0.465351 0.233233
190700 3.144685 1.586614 0.307036
190800 3.144727 2.541852 0.767494
190900 3.144457 0.874011 0.002374
191000 3.144318 1.437672 0.918063
191100 3.144075 0.160765 0.061708
191200 3.144168 2.732025 0.203658
191300 3.144080 2.480994 0.886544
191400 3.143838 1.197693 0.219693
191500 3.143544 0.975668 0.119487
191600 3.143612 2.793273 0.334319
191700 3.143654 1.278047 0.091711
191800 3.143438 0.772969 0.439295
191900 3.143454 0.162744 0.583534
192000 3.143599 0.152578 0.814103
192100 3.143743 0.379992 0.388380
192200 3.143708 1.440848 0.877363
192300 3.143749 2.750239 0.500188
192400 3.143842 1.284167 0.409162
192500 3.144012 1.981714 0.550153
192600 3.144105 2.938413 0.477572
192700 3.144197 0.985059 0.657342
192800 3.144059 1.599222 0.968098
192900 3.143870 2.250612 0.604531
193000 3.143911 0.230008 0.690170
193100 3.144004 1.255837 0.657616
193200 3.144071 0.660380 0.486938
193300 3.144163 0.314860 0.496779
193400 3.144281 2.424639 0.228984
193500 3.144347 0.174777 0.501831
193600 3.144363 1.821232 0.761293
193700 3.144404 1.032711 0.268247
193800 3.144292 0.698752 0.525367
193900 3.144256 1.722673 0.571927
194000 3.144195 2.015065 0.735795
194100 3.144211 2.486113 0.162990
194200 3.144405 2.976067 0.907798
194300 3.144318 0.723475 0.201940
194400 3.144588 0.407271 0.647497
194500 3.144603 1.664067 0.639568
194600 3.144669 0.914565 0.354492
194700 3.144735 1.409571 0.039515
194800 3.144852 0.203620 0.744507
194900 3.144791 2.939233 0.850000
195000 3.144629 1.932857 0.923857
195100 3.144492 2.633286 0.987787
195200 3.144482 0.009855 0.090262
195300 3.144421 0.240825 0.007792
195400 3.144538 1.008165 0.704957
195500 3.144730 2.357725 0.851302
195600 3.144745 2.363206 0.878770
195700 3.144811 2.256985 0.439339
195800 3.144649 2.889414 0.093081
195900 3.144588 2.527496 0.836659
196000 3.144730 0.028915 0.668176
196100 3.144619 2.202366 0.484829
196200 3.144886 2.469007 0.232872
196300 3.144825 3.109823 0.719447
196400 3.144765 0.682483 0.172348
196500 3.144704 0.801416 0.197693
196600 3.144669 2.654769 0.835427
196700 3.144835 2.808017 0.045496
196800 3.144875 1.990168 0.586785
196900 3.144840 0.755031 0.024653
197000 3.144905 0.378218 0.851748
197100 3.145146 0.724332 0.455993
197200 3.145336 1.884083 0.931419
197300 3.145276 1.745927 0.783420
197400 3.145240 1.802914 0.201067
197500 3.145205 0.128338 0.609950
197600 3.145195 2.204565 0.945305
197700 3.145410 0.886672 0.170888
197800 3.145149 1.616788 0.617179
197900 3.145339 0.426853 0.806799
198000 3.145329 1.192360 0.435877
198100 3.145268 2.206159 0.773959
198200 3.145483 2.569775 0.111411
198300 3.145372 2.204349 0.783031
198400 3.145163 1.962332 0.805187
198500 3.145202 1.413556 0.666504
198600 3.145316 3.109301 0.683006
198700 3.145381 0.734250 0.455232
198800 3.145221 1.466102 0.048715
198900 3.145012 1.343926 0.500894
199000 3.144828 3.097072 0.099423
199100 3.144917 2.625316 0.355708
199200 3.144957 2.741822 0.031030
199300 3.144897 2.504821 0.880967
199400 3.144912 0.371882 0.804270
199500 3.145051 0.954575 0.915097
199600 3.144991 0.070810 0.541952
199700 3.144882 1.944557 0.107398
199800 3.144822 0.078600 0.051467
199900 3.144763 2.970133 0.368065
200000 3.144753 1.365445 0.349713
200100 3.145114 0.235382 0.950055
200200 3.145178 0.407943 0.497913
200300 3.145143 0.263051 0.386811
200400 3.145010 2.659257 0.718964
200500 3.144999 0.374541 0.555613
200600 3.145113 0.212868 0.924574
200700 3.145201 3.041918 0.810925
200800 3.145117 1.068214 0.457079
200900 3.145181 1.713886 0.052619
201000 3.145171 1.410442 0.899528
201100 3.145185 2.233432 0.236519
201200 3.145052 1.136583 0.655367
201300 3.144870 0.615368 0.916993
201400 3.144811 1.367688 0.915080
201500 3.144629 1.395237 0.247246
201600 3.144742 0.341783 0.994307
201700 3.144732 1.084416 0.183065
201800 3.144723 0.109953 0.246060
201900 3.144884 2.681201 0.102292
202000 3.144679 3.000647 0.456401
202100 3.144840 0.916866 0.592836
202200 3.144855 3.057723 0.991540
202300 3.144820 1.922515 0.263560
202400 3.144713 2.627770 0.106829
202500 3.144679 1.851619 0.890858
202600 3.144766 2.256348 0.584134
202700 3.144854 2.428094 0.705990
202800 3.144771 2.476276 0.478951
202900 3.144859 1.932426 0.102180
203000 3.144776 0.648510 0.302894
203100 3.144839 1.798295 0.009797
203200 3.144829 1.632326 0.456186
203300 3.144795 2.373857 0.671186
203400 3.144712 0.660980 0.029351
203500 3.144630 2.382638 0.463988
203600 3.144450 1.331206 0.342940
203700 3.144392 1.519012 0.907443
203800 3.144480 3.008184 0.489364
203900 3.144591 2.807851 0.714524
204000 3.144291 1.284048 0.922127
204100 3.144305 0.811760 0.147664
204200 3.144490 0.299361 0.389816
204300 3.144528 1.557729 0.977395
204400 3.144567 1.246242 0.087820
204500 3.144388 2.975342 0.862435
204600 3.144330 2.944647 0.653219
204700 3.144442 3.019000 0.163369
204800 3.144142 1.466085 0.031069
204900 3.144350 2.138611 0.535131
205000 3.144292 2.488321 0.249779
205100 3.144355 1.224859 0.874389
205200 3.144370 0.873155 0.285699
205300 3.144264 1.122960 0.512226
205400 3.144303 1.507856 0.700949
205500 3.144197 2.856901 0.351727
205600 3.144091 0.657464 0.446415
205700 3.144082 0.455693 0.998562
205800 3.143929 1.358183 0.087292
205900 3.144135 0.115370 0.409590
206000 3.144198 1.644758 0.009977
206100 3.144213 2.967199 0.474718
206200 3.144131 2.312386 0.454887
206300 3.144194 3.069103 0.913908
206400 3.144137 1.916819 0.445786
206500 3.143960 1.579632 0.492631
206600 3.143879 1.401964 0.587859
206700 3.143870 0.298261 0.318177
206800 3.143789 0.334736 0.648876
206900 3.143899 0.826174 0.481881
207000 3.143770 2.774295 0.504225
207100 3.143738 0.290659 0.981082
207200 3.143705 1.266731 0.828257
207300 3.143839 2.035388 0.706422
207400 3.143853 2.632334 0.411762
207500 3.143820 1.470251 0.670045
207600 3.143787 1.350367 0.671229
207700 3.143826 1.841739 0.483913
207800 3.143722 2.546879 0.441533
207900 3.143665 1.138844 0.234724
208000 3.143537 2.031887 0.514990
208100 3.143457 1.216543 0.179195
208200 3.143472 2.877728 0.953715
208300 3.143510 2.764536 0.437329
208400 3.143336 0.641364 0.397512
208500 3.143421 1.584822 0.447378
208600 3.143460 3.090402 0.651974
208700 3.143498 2.876520 0.135577
208800 3.143560 0.816843 0.797361
208900 3.143622 2.449483 0.755406
209000 3.143543 2.611472 0.657306
209100 3.143605 0.226862 0.390904
209200 3.143808 2.829918 0.972097
209300 3.143823 2.291936 0.329062
209400 3.143884 2.313124 0.893081
209500 3.143852 1.614307 0.943734
209600 3.143914 2.917672 0.299214
209700 3.144069 1.973166 0.024454
209800 3.144084 1.556428 0.348257
209900 3.143934 1.592900 0.267447
210000 3.143971 2.040417 0.563326
210100 3.143845 1.350677 0.546073
210200 3.143836 1.487828 0.717474
210300 3.143827 0.565861 0.839861
210400 3.143747 1.188584 0.836238
210500 3.143574 1.612771 0.774261
210600 3.143612 3.085486 0.763135
210700 3.143603 1.309394 0.408718
210800 3.143641 1.833510 0.393064
210900 3.143632 2.841809 0.414885
211000 3.143483 0.621795 0.114378
211100 3.143872 0.512038 0.948513
211200 3.143957 0.636914 0.387058
211300 3.144181 1.296946 0.658280
211400 3.144313 0.030260 0.226514
211500 3.144350 1.243921 0.788587
211600 3.144364 2.843864 0.097137
211700 3.144449 2.053639 0.641901
211800 3.144439 2.921798 0.821589
211900 3.144570 2.369232 0.766960
212000 3.144654 1.496832 0.989199
212100 3.144645 1.138179 0.900037
212200 3.144566 1.316571 0.883539
212300 3.144533 1.843428 0.234117
212400 3.144570 1.921038 0.368911
212500 3.144677 0.314192 0.323473
212600 3.144622 1.601863 0.799802
212700 3.144403 2.576396 0.500778
212800 3.144510 1.829548 0.909434
212900 3.144524 0.965079 0.087704
213000 3.144515 2.015664 0.592720
213100 3.144622 0.595747 0.077083
213200 3.144728 0.880857 0.970818
213300 3.144626 1.004685 0.106150
213400 3.144501 2.142331 0.707107
213500 3.144538 1.908287 0.594744
213600 3.144506 3.111367 0.334307
213700 3.144474 2.306148 0.423357
213800 3.144511 2.260746 0.448098
213900 3.144548 0.211371 0.429941
214000 3.144377 0.252723 0.167366
214100 3.144206 1.285526 0.622196
214200 3.144289 2.569830 0.749255
214300 3.144419 1.861341 0.920838
214400 3.144341 2.701956 0.129847
214500 3.144262 1.526906 0.402652
214600 3.144530 2.561121 0.619325
214700 3.144382 0.350848 0.716507
214800 3.144281 2.783098 0.598335
214900 3.144272 0.344023 0.897049
215000 3.144309 0.366678 0.976473
215100 3.144438 1.505625 0.193206
215200 3.144521 3.051481 0.810742
215300 3.144420 2.830870 0.958238
215400 3.144434 2.145178 0.255874
215500 3.144585 2.592999 0.568112
215600 3.144507 1.231284 0.709199
215700 3.144567 1.498945 0.653374
215800 3.144443 1.868137 0.590664
215900 3.144411 0.083279 0.259092
216000 3.144311 0.187367 0.157712
216100 3.144302 0.462370 0.737195
216200 3.144293 1.006832 0.180482
216300 3.144352 0.179443 0.187383
216400 3.144435 0.955499 0.846273
216500 3.144380 3.070365 0.302067
216600 3.144303 1.873737 0.090160
216700 3.144385 0.402209 0.467297
216800 3.144467 2.719376 0.050061
216900 3.144640 1.202903 0.069370
217000 3.144631 0.579504 0.446412
217100 3.144485 1.652523 0.127395
217200 3.144317 0.757349 0.078824
217300 3.144285 0.021215 0.112247
217400 3.144231 2.347320 0.369834
217500 3.144086 1.663581 0.252007
217600 3.144100 0.452063 0.778409
217700 3.144204 1.538189 0.914114
217800 3.143991 0.853226 0.898523
217900 3.144051 1.277580 0.337921
218000 3.144223 1.824534 0.135665
218100 3.144192 2.870015 0.530523
218200 3.144206 1.530640 0.387682
218300 3.144197 1.497532 0.631272
218400 3.144165 0.339005 0.555506
218500 3.144202 2.799247 0.703344
218600 3.144147 0.730696 0.771856
218700 3.144094 2.721827 0.736294
218800 3.144017 2.372288 0.854185
218900 3.143918 0.934013 0.403737
219000 3.143796 2.373337 0.417532
219100 3.143630 0.297063 0.469655
219200 3.143441 0.867955 0.225224
219300 3.143500 1.773756 0.595251
219400 3.143559 0.473503 0.330525
219500 3.143596 1.817609 0.946255
219600 3.143610 1.834524 0.560504
219700 3.143646 1.195522 0.260205
219800 3.143548 0.445465 0.223178
219900 3.143584 2.003553 0.281216
220000 3.143643 2.325919 0.313336
220100 3.143545 1.242435 0.618949
220200 3.143626 2.520002 0.944942
220300 3.143752 1.583948 0.835088
220400 3.143811 1.476288 0.733712
220500 3.143959 0.552311 0.391444
220600 3.143838 1.105028 0.299663
220700 3.143852 1.468179 0.553594
220800 3.143844 2.674054 0.486116
220900 3.143656 2.331120 0.283584
221000 3.143871 0.018090 0.974502
221100 3.143795 0.034055 0.955632
221200 3.143832 0.955392 0.664906
221300 3.143712 2.720742 0.495380
221400 3.143480 2.344665 0.892737
221500 3.143538 1.305992 0.522696
221600 3.143731 1.860211 0.851965
221700 3.143967 0.532948 0.874515
221800 3.143936 3.072734 0.848738
221900 3.143794 0.846100 0.604397
222000 3.143764 2.220324 0.177192
222100 3.143844 0.166008 0.793608
222200 3.143858 2.515455 0.875319
222300 3.143893 1.646676 0.336765
222400 3.143818 0.169331 0.701590
222500 3.143810 0.226912 0.527866
222600 3.143757 2.612962 0.452823
222700 3.143682 0.482421 0.165724
222800 3.143629 0.699042 0.654011
222900 3.143665 2.002689 0.645888
223000 3.143502 2.078973 0.794844
223100 3.143515 1.375561 0.923363
223200 3.143419 0.958879 0.209910
223300 3.143565 0.347077 0.517679
223400 3.143446 0.889483 0.213902
223500 3.143327 0.683267 0.053281
223600 3.143474 1.515223 0.353598
223700 3.143487 2.640732 0.005485
223800 3.143303 2.403713 0.367743
223900 3.143294 0.815345 0.424255
224000 3.143374 0.069820 0.738631
224100 3.143410 2.383331 0.601509
224200 3.143358 2.287980 0.684221
224300 3.143460 2.869493 0.094911
224400 3.143694 0.644039 0.581879
224500 3.143795 0.235289 0.842005
224600 3.143985 3.025113 0.358069
224700 3.143910 0.368049 0.814814
224800 3.144166 2.612435 0.898042
224900 3.144201 0.775543 0.143130
225000 3.144017 1.580080 0.109441
225100 3.144118 2.396803 0.890977
225200 3.144044 1.507541 0.641842
225300 3.144057 0.369559 0.198790
225400 3.144071 2.929393 0.735536
225500 3.144150 2.993309 0.324663
225600 3.144207 0.381738 0.986802
225700 3.144242 0.874833 0.361037
225800 3.144168 1.684284 0.111786
225900 3.144291 0.521711 0.749366
226000 3.144238 1.493086 0.000858
