# T U K E
147 -1055.518171 688.072897 -367.445274
148 -1060.779627 692.667798 -368.111828
149 -1066.041936 697.172046 -368.869891
150 -1071.300944 701.578947 -369.721997
151 -1076.551847 705.881693 -370.670154
152 -1081.791345 710.075429 -371.715916
153 -1087.015802 714.154145 -372.861657
154 -1092.221894 718.112504 -374.109390
155 -1097.406580 721.946578 -375.460003
156 -1102.567414 725.652010 -376.915404
157 -1107.701793 729.223656 -378.478136
158 -1112.807399 732.658389 -380.149010
159 -1117.882123 735.952897 -381.929227
160 -1122.923553 739.102289 -383.821264
161 -1127.929148 742.103322 -385.825826
162 -1132.896027 744.951110 -387.944917
163 -1137.821210 747.641622 -390.179588
164 -1142.700209 750.169065 -392.531143
165 -1147.529155 752.528319 -395.000836
166 -1152.302617 754.712987 -397.589629
167 -1157.014639 756.715945 -400.298694
168 -1161.658821 758.530196 -403.128624
169 -1166.228148 760.148381 -406.079767
170 -1170.714758 761.562352 -409.152405
171 -1175.110897 762.764821 -412.346076
172 -1179.408350 763.747283 -415.661067
173 -1183.598903 764.501972 -419.096932
174 -1187.674747 765.023314 -422.651433
175 -1191.628591 765.304036 -426.324555
176 -1195.453696 765.338756 -430.114940
177 -1199.144004 765.124649 -434.019355
178 -1202.694627 764.658530 -438.036098
179 -1206.101765 763.938734 -442.163031
180 -1209.362913 762.964998 -446.397916
181 -1212.476632 761.739675 -450.736957
182 -1215.442745 760.265544 -455.177201
183 -1218.262245 758.545867 -459.716378
184 -1220.937336 756.587495 -464.349841
185 -1223.471483 754.396848 -469.074635
186 -1225.868706 751.980831 -473.887876
187 -1228.133770 749.348045 -478.785725
188 -1230.272370 746.508367 -483.764003
189 -1232.290694 743.471179 -488.819514
190 -1234.195105 740.246347 -493.948758
191 -1235.992270 736.843485 -499.148785
192 -1237.689029 733.274150 -504.414879
193 -1239.292435 729.548979 -509.743456
194 -1240.808955 725.677510 -515.131445
195 -1242.245120 721.670005 -520.575115
196 -1243.607393 717.536354 -526.071039
197 -1244.901548 713.285288 -531.616260
198 -1246.132755 708.926689 -537.206066
199 -1247.305897 704.467515 -542.838382
200 -1248.425346 699.916542 -548.508804
201 -1249.494129 695.279262 -554.214867
202 -1250.515483 690.562254 -559.953228
203 -1251.491056 685.771245 -565.719810
204 -1252.422587 680.910500 -571.512086
205 -1253.310477 675.983916 -577.326561
206 -1254.154841 670.995084 -583.159757
