256
Caixa no tempo 9000
W 6.418730 6.624305 5.813255
W 0.416317 0.305330 0.463299
W 1.477767 0.582088 6.810721
W 2.391860 0.153575 6.400576
W 3.637123 6.638996 5.934291
W 4.515693 0.358289 5.858355
W 5.603206 0.356237 6.354212
W 0.213411 0.287482 6.374422
W 0.430975 1.894834 0.010820
W 1.465332 1.748302 6.772417
W 2.556489 1.406061 6.285580
W 4.053139 1.542835 5.404852
W 5.198487 1.319068 6.469275
W 5.779284 1.099289 0.643320
W 6.806512 1.370832 6.201918
W 0.675856 2.445480 6.092709
W 3.248825 2.206691 5.545114
W 4.104610 1.743202 6.739817
W 4.872473 2.216695 5.908248
W 5.915508 2.052405 5.926869
W 6.650178 2.548092 6.554780
W 0.465300 3.013589 0.277069
W 0.888674 3.716559 6.265765
W 1.616162 4.478486 6.003903
W 1.965448 3.363784 6.002555
W 4.929447 1.692835 0.574399
W 5.232459 2.397799 6.850157
W 6.093860 3.050266 0.235486
W 6.726268 3.725555 6.556927
W 0.572088 4.854731 6.089196
W 2.340227 4.651400 6.700117
W 2.969103 3.497269 6.632421
W 4.082894 3.120927 6.221915
W 4.953981 3.505365 6.521279
W 5.933556 3.169144 6.153763
W 6.548201 4.877611 6.356068
W 1.010161 5.140885 5.225135
W 1.570942 5.532010 0.464618
W 3.341450 4.820266 6.375373
W 4.883008 4.968924 6.268796
W 5.497526 5.721743 4.932624
W 6.340590 4.096527 5.450375
W 5.915731 5.735103 6.043686
W 0.175877 5.936144 6.318157
W 1.335222 6.862112 6.131602
W 1.719714 5.877368 6.236101
W 4.080449 5.758417 6.370357
W 5.208229 6.401825 6.597188
W 5.707041 5.719745 0.198682
W 6.762162 6.166914 0.219009
W 6.958715 6.043499 1.243161
W 1.287084 0.609788 0.876709
W 2.313241 0.428550 1.536549
W 3.004601 5.765550 6.481746
W 4.192984 6.637093 6.932165
W 5.415666 0.167344 0.477886
W 6.614069 0.895754 0.077151
W 0.359094 0.532060 1.534270
W 1.592060 1.313769 1.642727
W 2.099640 1.576811 0.534110
W 2.406634 0.581635 0.332549
W 4.389901 0.783049 0.519954
W 6.527379 1.308038 1.256565
W 0.761466 1.922205 1.057872
W 1.677233 2.610839 0.621803
W 2.308451 2.385285 6.334332
W 2.567641 2.348259 1.234501
W 3.625830 0.463966 6.693525
W 6.049006 1.778680 0.031701
W 6.777915 2.272419 0.685125
W 0.019262 3.275567 1.156074
W 0.926938 3.253996 1.657761
W 2.155980 3.500871 1.320984
W 3.165339 2.378238 6.938466
W 4.656444 2.386254 1.542817
W 5.669011 2.344816 1.095649
W 5.857337 3.500990 1.297116
W 0.654546 4.007495 0.402690
W 1.305560 4.175734 1.205871
W 1.761077 3.748393 0.292404
W 3.464515 3.883368 1.422484
W 4.338061 2.689389 0.198054
W 5.097406 3.952762 0.476052
W 5.784226 4.609730 6.865500
W 6.491033 4.040835 0.553665
W 1.381376 4.599260 0.137581
W 2.167361 4.594301 0.698118
W 3.141877 4.423520 0.452978
W 4.048979 3.673932 0.044153
W 4.699125 5.158204 0.344829
W 4.969253 5.439386 1.312129
W 0.399102 5.213461 0.083425
W 0.785049 6.334982 0.190739
W 1.938225 6.604055 0.408255
W 2.630400 5.660751 0.701236
W 3.789579 5.782876 0.403393
W 4.826126 6.292244 0.654078
W 6.293792 5.186879 0.970871
W 6.359316 0.160262 0.831590
W 0.972915 6.665775 1.455621
W 2.396877 6.823316 2.372367
W 2.929232 6.462518 1.335788
W 3.312773 0.685388 0.780193
W 4.981550 0.512164 1.385151
W 5.790231 6.479974 1.356271
W 6.802614 0.923077 2.462374
W 1.051866 0.600766 2.678780
W 1.986508 0.764573 2.547855
W 2.677123 1.301386 1.486224
W 3.524557 1.828340 0.836045
W 4.261573 1.476288 1.804177
W 5.779207 0.522363 2.155814
W 0.111430 2.283516 1.761858
W 0.669973 1.562168 2.200668
W 1.680755 2.238183 1.964171
W 2.901383 2.250589 2.746264
W 3.557962 2.501041 1.661346
W 5.389200 1.478918 1.602554
W 6.014092 1.674384 2.526186
W 6.879071 3.116119 2.348710
W 1.042871 2.797564 2.565327
W 2.071476 3.140549 2.264869
W 3.092712 3.369168 2.271214
W 4.150511 3.504922 2.315516
W 5.229276 3.113823 2.029205
W 6.165849 2.556923 1.946442
W 6.607128 4.090506 1.884766
W 0.624682 3.810163 2.363962
W 1.647364 4.159286 2.337690
W 2.742190 4.108718 2.968847
W 4.608379 3.286171 1.054947
W 4.695906 4.636753 2.730378
W 4.785057 4.084937 1.779934
W 0.777248 5.487806 2.169926
W 0.341378 4.690012 1.301677
W 2.837251 5.670487 2.365415
W 2.667380 4.632483 1.838521
W 3.723159 4.429048 2.493548
W 4.170813 4.498723 0.967249
W 5.426687 5.623125 2.346984
W 0.870573 5.593115 1.217649
W 1.685151 5.069583 1.626204
W 1.876773 6.136824 1.351901
W 3.701741 6.305424 2.557877
W 3.803897 5.342714 1.459935
W 4.447678 5.662103 2.490334
W 6.336731 5.841954 2.818457
W 6.536970 6.762330 2.041493
W 1.525712 6.756905 3.642588
W 2.834108 6.907031 3.299689
W 3.788206 0.262336 3.104711
W 3.905014 6.548404 1.217503
W 4.945809 1.069620 2.803118
W 5.712987 6.704144 2.741590
W 5.922799 0.745168 3.432234
W 0.319958 0.947048 3.387763
W 1.441825 1.536226 3.027109
W 3.632402 0.551084 1.727431
W 3.995564 1.714983 3.513214
W 4.894555 2.214244 3.586957
W 5.708828 0.991337 4.641228
W 6.983416 2.110032 3.198161
W 1.402229 1.486056 4.216989
W 2.105411 2.645027 3.235439
W 3.160027 3.131623 3.382897
W 3.198493 1.016771 2.862870
W 5.027007 2.190154 2.539169
W 6.034966 1.743201 4.013428
W 0.292123 3.430404 3.438734
W 0.930066 2.453737 3.583501
W 1.564443 3.712903 3.479842
W 3.863384 2.544842 2.832057
W 4.204708 3.209148 4.042288
W 4.845537 3.177291 3.207217
W 5.871492 2.678991 3.030032
W 6.231933 4.794085 2.958659
W 0.557920 4.549811 3.043121
W 2.212144 4.591843 3.740133
W 3.023953 3.892501 4.172667
W 3.736237 3.865976 3.491491
W 4.801522 4.193030 3.901373
W 5.727975 3.924515 2.490285
W 0.155894 5.597777 3.378541
W 1.896465 5.275352 2.691132
W 1.908339 5.333760 4.736819
W 2.952424 5.089282 3.234214
W 3.934910 5.071008 3.401843
W 5.186473 5.112007 3.560050
W 6.198472 3.580951 3.513179
W 0.614047 6.569776 2.435027
W 1.181158 5.677635 3.621851
W 2.242329 5.833232 3.535844
W 3.579601 5.975229 3.563667
W 4.848710 6.324754 3.267497
W 4.588998 6.849709 2.223694
W 6.358371 5.710642 4.142027
W 6.868038 6.735150 3.105218
W 0.333518 6.538767 4.086863
W 2.195652 6.510005 5.460038
W 3.347797 0.214908 4.219614
W 4.351882 6.900228 4.801265
W 4.874121 0.504457 3.827420
W 6.328683 0.139492 4.227186
W 0.146914 0.523380 4.639565
W 0.586351 1.205631 5.239715
W 1.392921 0.388349 5.111907
W 1.851909 0.744867 3.579282
W 3.123696 1.193421 4.939722
W 4.161638 0.867325 4.498897
W 5.074922 1.086388 5.541640
W 0.367845 1.877775 4.315648
W 1.405039 3.614091 5.276765
W 2.549856 1.569290 3.527342
W 2.957893 2.681397 4.550571
W 3.760360 1.831871 4.501589
W 4.913768 1.727385 4.481995
W 6.893504 2.688772 5.431951
W 1.370732 2.505995 5.008441
W 1.611600 4.262862 4.448335
W 2.095368 3.303476 4.298188
W 2.732840 3.220753 5.411646
W 5.153488 2.683986 5.107077
W 5.704099 2.866400 4.052951
W 6.689490 2.663284 4.075266
W 0.744509 3.165368 4.496381
W 0.689108 4.791623 3.973614
W 2.481814 4.256946 5.226784
W 4.228222 4.129963 5.735282
W 3.714922 4.012341 4.871982
W 5.145912 4.460375 5.452528
W 6.149227 3.225173 4.813824
W 6.891176 4.071943 4.359751
W 0.369136 4.191358 5.276820
W 2.580946 5.422767 5.696870
W 3.115559 5.125115 4.155257
W 3.607814 5.210592 5.393887
W 4.278131 5.160217 4.359357
W 5.769213 4.294460 4.445353
W 0.443910 5.647694 4.545832
W 1.403357 6.441912 4.728802
W 2.462927 6.449527 4.289144
W 3.473429 6.108310 4.598883
W 5.264661 6.439362 4.214757
W 6.667967 6.399539 4.827414
W 6.790438 5.469071 5.454375
W 0.511577 6.672495 5.341070
W 0.816005 1.179772 6.358511
W 1.851269 0.836583 5.866958
W 3.067520 0.047398 5.276473
W 4.741067 6.382967 5.617622
W 5.548748 6.900354 5.101789
W 6.333435 0.552879 5.372638
W 6.353002 1.838947 4.956981
W 2.307873 1.899949 4.966658
W 2.413667 0.483866 4.567007
W 4.047227 3.080798 5.061347
