108
Caixa no tempo 2400
W 0.328601 5.666559 4.986452
W 0.692583 6.754312 0.809934
W 1.195825 0.526481 0.293520
W 1.914741 0.715739 6.226875
W 3.407782 6.355106 6.182851
W 4.428223 0.355938 6.395935
W 0.383802 6.344531 5.725773
W 0.248266 6.958190 6.739358
W 6.883076 1.254714 0.058240
W 1.690414 2.271418 6.507435
W 3.380351 1.261576 6.210032
W 4.350281 1.462295 6.946449
W 5.431036 0.328140 6.140059
W 6.011897 6.382919 6.325571
W 6.773706 0.750252 6.103647
W 6.638554 2.184349 6.697486
W 2.541576 1.756466 5.595331
W 4.041545 2.123027 5.780528
W 4.909590 1.426825 5.898717
W 6.199295 3.119284 5.943847
W 6.044055 3.312906 0.006466
W 0.128000 2.986321 0.279320
W 0.977179 3.224602 6.775949
W 2.097827 3.432988 6.078372
W 3.069715 2.638533 5.460749
W 5.107028 2.459674 0.021700
W 5.260032 2.470276 5.797031
W 5.582477 3.927023 0.614150
W 0.306697 4.110556 6.381752
W 1.173687 3.887161 5.753462
W 2.360819 5.131742 0.221088
W 3.109545 4.020379 6.433740
W 4.263263 3.468588 6.277707
W 5.228639 3.765397 6.602202
W 6.034966 4.385239 6.594695
W 0.180160 4.948090 6.983057
W 1.610015 4.638419 4.914299
W 1.717125 5.922437 6.629072
W 2.245379 5.624649 5.533881
W 5.127484 5.501559 5.066362
W 6.389119 4.924091 4.529201
W 0.161191 4.275478 5.167789
W 5.608388 5.474228 6.508076
W 1.026257 4.969923 6.036292
W 1.137271 6.902016 6.207937
W 2.377419 6.645574 6.146935
W 3.495175 4.873668 6.863140
W 4.796224 6.281886 6.659253
W 4.897088 5.651525 0.699376
W 6.693803 6.040329 0.294972
W 0.371056 5.419678 0.943611
W 1.569249 6.783237 1.506723
W 1.979061 0.757759 1.107386
W 2.817209 6.020902 0.072174
W 4.247279 0.064716 0.370509
W 5.436842 6.555443 0.446555
W 6.277813 0.232892 6.903394
W 0.595694 0.423149 1.828199
W 1.727955 1.862290 1.103009
W 2.610395 1.561224 0.007017
W 2.715803 0.385567 6.732017
W 5.138966 0.667179 0.239565
W 6.688206 1.190130 1.306671
W 0.858917 1.206929 1.157065
W 0.938485 2.347660 0.609734
W 2.714751 2.611872 6.387131
W 3.035565 2.494643 0.703703
W 3.486943 1.448740 0.602524
W 5.768721 1.255369 6.559639
W 6.971330 2.068381 0.914387
W 6.763809 3.011465 1.509914
W 0.701276 2.534342 1.602678
W 2.122133 2.950930 0.429244
W 3.878891 2.385762 6.907912
W 3.898398 2.316839 1.631296
W 5.361518 2.928026 0.961169
W 5.657576 3.396052 1.789030
W 6.815363 3.861677 1.003340
W 0.865903 3.317592 0.996230
W 1.949737 4.205771 6.922296
W 3.368484 3.367630 0.637644
W 4.355132 2.880826 0.660667
W 4.963024 4.598914 1.141457
