108
Caixa no tempo 2500
W 0.346100 5.567652 4.810070
W 0.778188 6.790876 0.843226
W 1.203716 0.605012 0.221885
W 1.859657 0.810007 6.324970
W 3.468359 6.248776 6.154833
W 4.438505 0.379377 6.470542
W 0.559464 6.338619 5.765136
W 0.256597 6.907042 6.700365
W 6.798947 1.142876 6.961653
W 1.634935 2.116821 6.605938
W 3.360937 1.204101 6.399820
W 4.373812 1.400213 6.922623
W 5.400201 0.236231 6.036269
W 6.052775 6.346188 6.218597
W 6.722541 0.665538 6.132800
W 6.392637 2.197115 6.799500
W 2.551682 1.754098 5.705862
W 4.110297 2.135229 5.843366
W 4.986347 1.271427 5.849514
W 6.149166 3.200606 5.970238
W 6.104182 3.211056 0.030932
W 6.950591 2.934910 0.296191
W 0.962296 3.200279 6.825899
W 2.177899 3.550193 6.114644
W 3.191624 2.719527 5.428665
W 5.207732 2.458158 0.059388
W 5.288488 2.492705 5.808396
W 5.625525 4.091306 0.592392
W 0.333181 4.060234 6.239465
W 1.167068 3.824609 5.685043
W 2.141271 5.171862 0.204699
W 3.156341 4.072340 6.396593
W 4.285435 3.247310 6.253579
W 5.198568 3.686742 6.491018
W 6.062673 4.423988 6.527150
W 0.172869 5.071809 6.832656
W 1.592273 4.588296 5.055156
W 1.776076 5.953536 6.562159
W 2.409572 5.787025 5.600373
W 5.086183 5.462079 4.955507
W 6.333506 4.930940 4.620298
W 0.191437 4.319149 5.094624
W 5.620591 5.339367 6.331603
W 1.127877 5.090227 5.926712
W 1.258291 6.980577 6.260084
W 2.256848 6.695617 5.953425
W 3.542667 4.941438 6.890932
W 4.772669 6.345289 6.603796
W 4.814582 5.589367 0.724320
W 6.632357 6.134222 0.441651
W 0.335519 5.400092 0.820614
W 1.484377 6.911816 1.542181
W 1.838028 0.700170 0.961467
W 2.832114 6.039824 0.045465
W 4.130955 0.088378 0.409460
W 5.575521 6.330365 0.505261
W 6.150928 0.068857 6.897167
W 0.514994 0.369485 1.792581
W 1.807761 1.825040 0.922960
W 2.432136 1.729902 0.009731
W 2.743340 0.427812 6.926108
W 5.045527 0.764673 0.255796
W 6.722116 1.159038 1.442645
W 0.923868 1.216240 1.102501
W 0.833874 2.284337 0.435140
W 2.606580 2.508304 6.397616
W 3.040548 2.353349 0.578396
W 3.617643 1.494668 0.631367
W 5.807993 1.242972 6.653758
W 6.870019 2.051085 0.889178
W 6.690250 3.000627 1.640742
W 0.624846 2.475648 1.558525
W 2.075253 2.926086 0.475007
W 3.860274 2.356749 6.773378
W 3.772561 2.293428 1.480701
W 5.294783 2.880375 1.009014
W 5.755013 3.259918 1.907367
W 6.741604 3.825990 0.895347
W 0.757262 3.342609 0.951909
W 1.852247 4.033904 0.056457
W 3.347294 3.520997 0.617810
W 4.295361 2.801846 0.661645
W 4.997821 4.672668 1.200786
W 6.239086 5.075867 0.680999
W 6.158289 4.543556 1.558794
W 1.171751 5.019073 0.090151
W 1.850241 4.746915 1.122653
W 2.915207 4.426423 0.553192
W 4.475520 3.938311 0.270225
W 4.850775 4.810298 6.853657
W 5.109740 5.587604 1.958386
W 0.747988 6.006274 6.820497
W 1.269452 5.935273 0.719129
W 1.886281 6.821328 0.403312
W 2.970067 5.318642 1.017367
W 3.866142 5.894307 0.400432
W 4.664443 6.861107 1.323777
W 6.159519 5.584407 1.621781
W 6.888691 0.326058 0.810680
W 0.828844 6.028599 1.791455
W 2.442360 0.256405 2.242615
W 3.330045 6.550449 1.010469
W 4.318544 1.011798 1.259313
W 5.460305 6.478741 1.933448
W 5.783163 5.735090 2.639267
W 6.568091 1.072313 2.464261
W 0.297266 0.052802 2.916382
W 1.779322 1.270038 2.954573
W 3.109890 0.878673 1.326715
W 4.919474 1.738429 0.891681
W 5.813162 0.401279 0.904774
W 5.958420 0.302053 2.045375
W 6.946609 2.059143 2.214660
W 1.647986 1.020205 1.926868
W 1.790447 2.621878 1.627010
W 2.663489 1.804125 1.730628
W 4.674741 1.822904 2.067312
W 5.871846 1.435290 0.661930
W 5.380800 1.395940 2.789459
W 5.431434 2.489877 2.589056
W 0.838308 1.617196 2.219401
W 1.956116 3.498231 2.266045
W 2.756208 3.117095 1.474828
W 3.643102 3.433804 2.198399
W 4.548897 3.013370 1.957763
W 5.898096 2.235638 1.607696
W 6.446962 3.790533 2.288235
W 0.976171 2.848488 2.467710
W 1.798815 3.571981 1.168090
W 2.766467 3.980180 2.719723
W 4.171834 3.814759 1.288226
W 3.855774 4.766658 2.754745
W 4.660294 3.966868 2.211226
W 0.251228 5.151590 1.819440
W 0.526351 4.097215 2.203556
W 2.420297 5.110349 1.933474
W 2.880531 4.165827 1.614633
W 3.550634 5.279522 1.911310
W 3.880695 4.863616 0.834054
W 5.367521 4.606585 2.426682
W 0.842333 4.480448 0.953054
W 1.307807 5.235039 1.998638
W 2.171600 5.897454 1.267317
W 3.130925 5.875676 2.882565
W 4.248168 5.909161 1.423941
W 4.281319 5.903896 2.630682
W 6.793430 6.094397 2.802153
W 6.707918 6.565392 1.646525
W 1.358729 0.158343 2.546587
W 2.432499 6.554659 3.060951
W 3.628598 0.085923 2.953411
W 4.353537 1.108719 2.767323
W 4.857405 1.153652 3.617506
W 6.272758 0.023341 2.915980
W 6.250239 0.965183 3.485188
W 0.436057 1.227306 3.121002
W 1.068218 1.676160 3.877161
W 3.685493 0.263545 1.945370
W 3.737334 1.117594 3.554574
W 4.359661 2.293167 3.700223
W 6.006077 0.920349 4.480406
W 6.940362 2.052493 3.229118
W 0.773283 2.663423 3.427460
W 1.891627 2.392226 3.213275
W 2.584246 1.644835 3.620689
W 3.231669 1.031727 2.595148
W 5.627520 1.207397 1.789464
W 5.747033 2.068969 3.729279
W 6.870422 3.114250 2.926744
W 1.729238 2.609173 4.459607
W 1.574764 4.423770 2.681363
W 2.643687 2.598760 2.481279
W 4.263855 2.954742 5.099957
W 3.648453 2.405825 2.561874
W 4.280756 3.657076 3.143509
W 6.334737 4.935759 2.464845
W 0.665052 4.840947 2.882318
W 2.071204 5.093979 3.273027
W 3.261703 4.451455 4.168707
W 3.296911 3.477026 3.520031
W 4.810715 4.408687 4.133899
W 5.446463 3.452631 2.893535
W 0.260267 5.659203 3.608906
W 1.247775 5.838659 2.825910
W 2.231824 5.325419 4.510645
W 3.007174 4.947120 3.348466
W 3.853399 5.284979 3.962604
W 4.849804 5.391496 3.624070
W 5.953528 4.025761 4.309062
W 1.276087 6.554848 3.687210
W 1.164802 5.250682 4.014685
W 1.969196 6.136849 2.270112
W 2.932052 5.897754 3.874677
W 4.081972 6.310257 3.694762
W 4.584848 6.882626 2.395367
W 5.729351 6.032035 3.842902
W 6.772991 6.876019 3.942835
W 0.658132 0.556013 3.882305
W 1.685640 0.349221 5.185815
W 3.298857 0.051925 3.972640
W 4.439764 0.331222 4.323200
W 5.265017 6.795261 3.289002
W 5.760457 6.769737 4.572579
W 0.023354 1.443019 5.112072
W 0.962084 1.119249 4.809986
W 1.690500 0.525161 4.129056
W 2.553157 0.611397 3.485398
W 3.997203 1.093250 5.335324
W 4.858661 1.373912 4.712427
W 5.825571 1.620156 5.280624
W 6.813330 1.613127 4.126620
W 1.641086 2.602031 5.506764
W 2.014196 1.317419 4.632072
W 3.269847 2.494474 3.768925
W 3.707210 1.736440 4.656651
W 5.250476 2.448056 4.668054
W 0.253609 3.108149 5.876394
W 6.336558 2.287974 4.644416
W 1.361645 3.453372 4.760313
W 2.495368 3.555550 5.026856
W 2.080755 4.709141 5.929492
W 5.350577 3.393727 4.813637
W 5.044565 3.158168 3.905919
W 6.208780 3.008128 3.871763
W 0.336362 3.355132 4.136046
W 0.813156 3.745697 3.117324
W 1.753496 3.655539 3.666801
W 3.536489 3.656305 5.499244
W 4.027663 3.670996 4.224417
W 5.712084 4.561469 5.316152
W 6.544434 3.418146 4.912674
W 6.892831 4.428673 3.654987
W 0.788198 4.206262 4.113676
W 3.361675 6.374436 5.033629
W 3.381261 5.038576 5.435526
W 4.306100 5.754237 5.671517
W 4.273191 4.810645 5.004951
W 5.846097 4.711082 3.459178
W 0.626420 6.641931 4.567802
W 1.338606 6.062891 5.172238
W 2.319675 6.583543 4.487327
W 4.152594 0.034699 5.437867
W 4.683963 6.397665 4.629556
W 6.523956 6.161255 5.424390
W 6.925341 5.162359 5.800974
W 0.546107 0.467518 5.470977
W 0.751121 1.101405 6.555358
W 1.270648 1.333105 5.675884
W 2.799478 0.315272 5.325792
W 5.353270 6.329503 5.512352
W 5.076524 0.472928 5.135592
W 6.388214 0.281487 5.256484
W 0.660916 2.174021 6.276200
W 0.665754 2.337215 4.790858
W 3.099161 0.904439 4.516226
W 2.687668 2.191833 4.622192
