108
Caixa no tempo 100
W 6.886656 6.940783 6.839188
W 0.991062 0.026771 6.949812
W 2.060119 0.053475 0.033448
W 3.034338 0.050150 0.023006
W 3.963037 6.895008 6.809196
W 4.944135 0.045813 6.901522
W 5.876789 6.936883 6.939609
W 6.920989 0.980605 6.749557
W 0.925179 0.996309 6.917745
W 1.901520 1.030136 6.974576
W 2.952239 1.036996 6.913507
W 3.964502 0.935515 6.857300
W 4.974081 1.027944 6.966814
W 5.999239 0.935071 6.984602
W 0.001111 1.925706 6.912746
W 1.091406 1.948673 6.843342
W 2.093106 2.026980 6.901479
W 3.084902 1.984700 0.040925
W 4.029086 1.908169 6.855410
W 5.004598 1.976709 6.761468
W 5.986831 2.037235 0.032711
W 6.920486 2.982059 6.928733
W 0.941109 2.952571 0.004488
W 1.993145 3.087121 6.894193
W 3.012031 2.976411 6.872234
W 4.010204 2.892623 6.977229
W 4.979054 2.969768 6.893344
W 5.948885 3.065225 6.942114
W 6.931643 3.929821 6.825152
W 0.966792 3.979704 0.009183
W 1.955267 4.126555 6.958135
W 2.964613 3.925395 6.976675
W 3.963026 3.903979 6.905509
W 4.948017 3.919580 0.067840
W 5.946351 4.062860 6.861427
W 0.038331 4.948994 6.810726
W 1.074616 5.025149 6.785830
W 2.043445 5.127530 6.988523
W 3.040513 4.907345 6.882015
W 4.007775 4.884636 6.887106
W 5.022423 4.946905 6.810312
W 6.023655 5.011806 0.047086
W 6.981597 5.962997 6.804130
W 0.995935 6.035352 6.793858
W 1.941379 6.100774 6.882645
W 2.949332 5.949594 0.002703
W 3.947855 5.907029 6.894742
W 4.989223 5.947230 6.899608
W 5.997859 5.980383 0.083432
W 6.925451 6.980625 0.882268
W 0.906282 6.960146 0.990942
W 1.861075 0.025364 0.994665
W 2.871464 0.052709 1.021650
W 3.881661 6.930830 0.886754
W 4.939950 0.003933 0.976958
W 5.975399 0.041633 1.016798
W 6.917399 0.967152 0.931884
W 0.971912 1.010971 0.973429
W 2.047185 1.012637 1.012919
W 2.974614 1.050998 0.941993
W 3.934282 0.945478 0.930994
W 4.876485 0.983080 1.005344
W 5.854278 1.055841 1.013693
W 0.030706 1.980515 0.926143
W 0.944678 2.007745 0.983384
W 1.980824 2.029282 0.926856
W 2.943891 2.049155 1.035545
W 4.006515 1.928885 1.000674
W 5.029848 2.000393 0.944566
W 5.983088 2.028285 1.076333
W 0.038268 2.950778 0.968755
W 0.972829 3.046184 1.045320
W 2.036713 3.015598 0.982140
W 3.014509 3.074325 0.969304
W 4.075252 2.946236 1.072993
W 5.067077 2.977579 0.943914
W 6.030603 3.038370 1.023091
W 0.033746 3.970094 0.962723
W 1.060172 4.042265 0.984192
W 2.038275 4.040420 1.013591
W 3.054001 4.086321 1.056629
W 4.031117 3.960493 0.995048
W 5.035389 3.969615 1.112982
W 6.018198 4.047953 0.912127
W 0.031906 4.959496 1.026516
W 1.062206 4.997779 0.875116
W 2.058982 5.045964 1.021520
W 3.051011 5.046772 0.929532
W 4.023005 4.954108 0.917166
W 4.986633 4.968490 0.875121
W 5.975628 5.099457 1.057257
W 0.031101 5.981581 0.901260
W 1.038938 6.016837 0.973194
W 2.004108 6.049530 0.945550
W 3.034239 6.052373 1.015182
W 4.036745 6.010047 0.980001
W 5.084552 5.957461 1.040316
W 6.083073 6.094833 1.085111
W 6.929419 0.084821 1.893260
W 0.935079 6.987120 1.970502
W 2.001740 0.042511 2.030366
W 2.975073 6.981774 2.029510
W 4.001886 0.026022 1.938915
W 4.952649 0.036364 1.968551
W 5.936025 0.000941 1.985093
W 0.048213 1.062924 2.058722
W 0.986342 0.975870 2.009924
W 1.927845 1.074590 2.017560
W 2.953166 0.954999 1.987398
W 4.016474 1.090368 1.936171
W 5.085731 1.076452 1.984945
W 6.055291 0.919126 2.022098
W 0.030415 1.991487 1.940391
W 1.093223 1.959276 1.983871
W 2.023169 2.001498 1.906658
W 3.008864 1.973137 1.962695
W 3.951153 2.133697 1.997138
W 4.903273 2.026650 1.921878
W 5.962303 1.906859 2.047540
W 6.916868 2.983370 1.953153
W 0.957336 2.963304 2.112451
W 1.966163 2.928290 2.021792
W 3.013783 2.944402 1.973769
W 3.987466 3.129279 2.060894
W 4.963860 2.981010 1.919485
W 5.930746 2.917381 1.979555
W 6.891577 3.964341 1.960093
W 0.885333 3.948639 1.942774
W 1.896996 3.874880 1.950027
W 2.939759 3.968166 2.081240
W 4.023026 4.109563 2.033474
W 4.999711 3.928191 2.080134
W 5.940566 4.004865 1.876946
W 6.959975 5.025229 2.050297
W 0.948780 4.980561 1.999136
W 1.964684 4.833766 2.059617
W 2.937649 4.926503 1.883134
W 3.958555 5.052768 1.938930
W 4.930021 4.916753 1.963559
W 5.938717 5.030280 2.088079
W 0.073190 6.084853 1.974528
W 1.067594 6.017028 2.024378
W 2.084018 5.860506 1.923210
W 3.068059 5.958220 1.998666
W 4.081951 6.054631 1.987208
W 5.006329 5.943142 2.003694
W 6.059673 5.962758 2.041634
W 0.023631 0.058164 2.861007
