256
Caixa no tempo 5300
W 0.012741 6.391647 6.077057
W 0.612236 6.812561 0.077318
W 1.953571 0.733542 0.088785
W 2.349242 0.164613 6.310463
W 3.388072 6.609263 6.307439
W 4.395165 0.235840 6.441598
W 5.953655 6.880359 6.166578
W 6.895565 0.633314 6.561618
W 0.756927 1.310435 0.203359
W 1.529178 1.531256 6.583606
W 2.675382 1.240887 6.215360
W 3.736685 0.906690 5.888080
W 5.054887 1.024074 6.499312
W 5.992165 0.989053 6.852977
W 6.948768 1.808012 6.260676
W 0.851539 2.357900 6.260874
W 2.562044 2.254336 5.568646
W 3.200126 2.228967 6.401884
W 4.611535 1.636086 5.773714
W 5.722946 1.873552 6.090922
W 6.190091 2.724068 6.663962
W 0.618246 2.449478 0.331303
W 1.108491 3.389444 6.669434
W 2.127485 3.885387 5.870357
W 2.981348 3.134901 6.079919
W 4.254418 2.065869 6.666532
W 5.071843 2.781435 6.401944
W 6.294591 3.579954 0.355469
W 6.908872 3.721126 6.110108
W 0.779732 4.359889 6.147658
W 1.832848 4.443185 6.628634
W 2.873779 4.119952 6.622422
W 3.907873 3.413963 6.316270
W 4.637128 4.049732 6.272636
W 5.752144 3.572945 5.870536
W 6.908494 5.072950 6.075431
W 1.596896 4.908744 5.401201
W 2.053191 5.439341 6.848127
W 2.605919 4.962951 6.074004
W 4.392258 4.889303 5.907480
W 5.318583 5.506544 5.579232
W 6.015161 4.492240 5.458094
W 6.055740 5.883700 6.421317
W 1.343605 5.718753 6.232865
W 1.322983 6.877279 6.279411
W 2.343363 6.168753 5.991905
W 3.547358 5.324305 6.579598
W 4.616600 5.872915 6.525569
W 5.393978 5.960592 0.323902
W 6.503095 6.607855 0.024207
W 0.132552 6.723068 1.018251
W 1.283832 0.045546 0.918646
W 2.405910 0.351437 1.084430
W 2.911132 6.087794 6.968199
W 4.543170 6.692281 0.433367
W 5.633245 6.928961 0.539880
W 6.813132 1.164819 0.683839
W 0.525762 0.581662 1.512681
W 1.452490 1.083230 1.092469
