108
Caixa no tempo 1900
W 6.981200 5.606952 5.528813
W 0.754066 6.841978 0.587798
W 1.293485 0.668683 0.319067
W 2.110663 0.794723 6.324875
W 3.681168 6.438298 6.171716
W 4.721098 0.244423 6.088928
W 6.653344 6.344360 6.198818
W 0.274272 0.209162 6.688881
W 0.501348 1.452691 6.960955
W 1.980659 2.052213 6.282118
W 3.242335 1.582956 6.428391
W 4.150965 1.019600 6.683413
W 5.501505 1.091171 6.230876
W 6.210185 0.185464 6.507222
W 6.508737 1.254312 6.227006
W 0.206289 2.219857 6.498100
W 2.721941 1.945316 5.542241
W 4.091276 2.340289 5.995454
W 4.724496 1.604051 5.534910
W 6.364743 2.465884 5.791403
W 6.429327 3.011774 6.682628
W 0.351746 2.996502 0.246159
W 1.311559 3.369828 6.930158
W 2.162166 3.371905 6.358236
W 3.194377 2.987639 5.723258
W 4.768469 2.083571 6.841243
W 5.448112 2.861443 6.001643
W 5.933342 3.725101 0.531972
W 0.158237 3.836118 6.642040
W 1.366189 4.263536 5.819477
W 2.422714 4.739695 6.548944
W 3.169553 3.959647 6.509532
W 4.558388 3.520016 6.181174
W 5.310408 3.797760 6.805991
W 6.196941 4.208650 6.441059
W 0.161359 4.901473 6.969443
W 1.970186 4.612059 5.005468
W 1.754326 5.715953 6.598542
W 2.259698 5.441685 5.692142
W 5.416374 5.091252 5.704392
W 6.182620 5.062146 4.964509
W 0.126187 4.342589 5.699333
W 5.627763 6.080678 6.399389
W 0.778060 5.129358 6.070390
W 1.140319 6.728679 6.527061
W 2.064641 6.458918 5.770286
W 3.367141 5.266227 6.689108
W 4.570105 6.053307 6.636109
W 5.264168 5.838905 0.437336
W 6.262031 6.148136 0.323548
W 0.139897 6.020478 0.988666
W 1.496641 0.080518 1.223145
W 2.663861 0.880158 1.120130
W 2.955848 6.079994 0.279742
W 4.357713 0.284383 0.252646
W 5.300128 6.905270 0.162742
W 6.358078 1.175455 0.295584
W 0.423437 0.410844 1.479961
W 1.717629 1.474902 1.357902
W 1.945610 1.370524 0.135418
W 3.164754 0.591789 6.979698
W 5.041206 1.047013 0.237094
W 6.290339 1.136220 1.378341
W 0.353551 1.554250 1.308257
W 1.395584 2.187490 0.597026
W 2.782379 2.376470 6.858962
W 2.618303 1.819003 0.794246
W 3.619194 1.152726 0.687069
W 5.887199 2.057032 6.639215
W 6.569726 2.086144 0.445804
W 6.319215 3.423832 1.525809
W 0.555721 2.586954 1.239533
W 2.336203 2.912567 0.701578
W 3.707449 2.203720 0.323027
W 3.619538 2.602985 1.227239
W 5.625524 2.695286 0.573023
W 5.492455 3.837040 1.923497
W 0.044583 4.001964 0.615835
W 1.168178 3.774175 0.951958
W 2.285245 3.855297 0.259182
W 3.180913 3.497578 0.513173
W 4.478931 3.050080 0.338472
W 5.115551 4.499908 0.637751
W 5.915041 5.073010 0.288548
W 6.332492 4.449435 1.338468
W 1.404000 4.502386 6.926674
W 2.027793 4.846866 0.634448
W 3.009423 4.529042 0.381060
W 4.010213 4.031454 0.109016
W 4.655935 4.970865 6.840416
W 5.092201 5.233263 1.350587
W 0.316532 5.950018 6.932495
W 1.306130 5.940256 0.782753
W 1.951636 6.690369 0.332838
W 2.830829 5.323605 1.060246
W 4.184659 5.642168 0.597632
W 4.625053 6.544173 1.116522
W 6.106266 5.464439 1.228197
W 6.746469 0.130529 0.631448
W 0.969256 6.216547 1.733584
W 2.164807 0.210101 2.116338
W 3.205390 6.896008 0.872411
W 3.941616 0.472057 1.338469
W 5.823551 6.488251 1.061967
W 5.677136 6.095395 2.248551
W 6.723834 1.196935 2.303667
W 0.080420 0.220889 2.576798
W 2.373782 1.296862 2.614030
W 3.417651 1.375546 1.883534
W 4.397238 1.874959 0.858885
W 5.027563 0.505069 1.120493
W 5.858518 0.553668 2.058352
W 6.632622 2.202433 1.805574
W 1.075367 0.618142 2.242304
W 1.632364 2.547015 1.792921
W 2.748038 2.361330 1.992013
W 4.069656 2.105804 2.378204
W 5.559189 1.668579 0.857282
W 5.730639 1.722497 2.582141
W 6.150828 2.940638 2.372465
W 0.631745 1.901099 2.494181
W 2.191450 3.009451 2.569715
W 2.721550 3.421337 1.645619
W 3.883448 3.706583 2.318938
W 4.568436 2.827531 1.825105
W 5.485399 2.405786 1.591513
W 6.718597 4.095942 2.298063
W 0.908517 3.151311 2.263453
W 1.714425 3.818997 1.817472
W 2.831378 4.237088 2.636650
