256
Caixa no tempo 10000
W 5.233812 5.261935 3.532167
W 6.341326 3.548380 3.527584
W 0.586937 6.530182 2.447964
W 1.239534 5.549484 3.498208
W 2.344581 5.808399 3.661305
W 3.574361 6.164604 3.789253
W 4.613642 6.397976 3.214180
W 4.490971 6.985905 2.213286
W 6.318549 5.569006 4.029133
W 6.627914 6.767350 3.239269
W 0.802837 6.606857 3.788753
W 2.107659 6.264600 5.586642
W 3.467659 0.184629 4.093861
W 4.300121 6.717826 4.821984
W 4.843721 0.427115 4.058930
W 6.169727 0.179192 4.143171
W 0.204838 0.425015 4.597427
W 0.768022 1.406533 5.419064
W 1.485352 0.165861 5.150335
W 1.763876 0.739064 3.541579
W 3.201959 0.969553 4.961007
W 4.130225 0.903449 4.658817
W 5.231218 1.114419 5.570647
W 0.231224 1.710866 4.397132
W 1.467658 3.484067 5.378735
W 2.604203 1.383234 3.661710
W 2.823437 2.619480 4.436322
W 3.915307 2.260892 4.497621
W 4.836471 1.820120 4.709947
W 0.035724 2.967041 5.374104
W 1.702178 2.460342 5.070944
W 1.489706 4.309812 4.562758
W 1.857331 3.249083 4.465014
W 2.746505 3.265650 5.357747
W 5.060596 2.748004 5.008873
W 5.439605 2.911852 4.036758
W 6.695607 2.706893 4.100909
W 0.688703 3.382222 4.609319
W 0.527685 4.571086 4.246422
W 2.333296 4.171464 5.226166
W 4.521061 3.971157 6.007857
W 3.625389 4.362017 4.942735
W 5.333672 4.342371 5.312867
W 6.123596 3.321956 4.983467
W 6.815055 3.869096 4.536010
W 0.578329 4.288461 5.434728
W 2.673570 5.142547 5.607755
W 3.169512 5.124673 4.436707
W 3.740115 5.289092 5.353417
W 4.350248 5.088718 4.544512
W 5.628499 3.926788 4.368016
W 0.368162 5.689083 4.404104
W 1.163188 6.199416 4.684810
W 2.574132 6.390686 4.519582
W 3.472821 6.112763 4.919307
W 5.440769 6.513073 3.918393
W 6.451746 6.407438 4.984481
W 6.985003 5.251281 5.283921
W 0.424225 6.674228 5.367483
W 0.628582 1.087198 6.373646
W 1.590542 1.256038 5.880915
W 3.066739 0.013047 5.150699
W 4.935526 6.102988 5.764837
W 5.333729 0.052561 5.215597
W 6.385033 0.450815 5.284983
W 6.429177 2.078596 5.008361
W 2.591009 1.767196 5.078221
W 2.207922 0.672581 4.498380
W 4.226360 3.268312 5.109601
