256
Caixa no tempo 7700
W 6.330487 6.479758 6.150468
W 0.392720 0.222953 0.512415
W 1.356297 0.662091 0.082986
W 2.628230 0.004145 6.178512
W 3.667930 6.661010 6.110183
W 4.398933 0.383298 6.180307
W 5.563969 0.388626 6.205427
W 6.937612 0.521152 6.324445
W 0.593641 1.675504 0.153492
W 1.680013 1.726251 6.464597
W 2.922273 1.199549 6.385978
W 4.065198 1.273150 5.829963
W 5.244994 1.263113 6.744861
W 5.591921 0.812454 0.738900
W 6.688321 1.517478 6.082847
W 0.719333 2.397061 6.223337
W 2.934284 2.157550 5.504436
W 3.905724 1.983742 6.846956
W 4.798380 2.027707 5.931891
W 5.779438 2.144104 5.874704
W 6.574437 2.636380 6.516240
W 0.652445 2.852916 0.326228
W 0.840549 3.491680 6.260825
W 1.821991 4.310756 5.609964
W 2.093724 3.523922 6.161324
W 4.728423 1.826849 0.528190
W 5.242232 2.587501 6.762571
W 6.068406 3.509246 0.275009
W 6.834473 3.653316 6.629056
W 0.596769 4.503435 6.282179
W 2.353190 4.318351 6.810450
W 3.144287 3.602213 6.411215
W 3.953457 3.006242 6.207377
W 5.053700 4.008205 6.574361
W 5.786255 3.280530 6.073312
W 6.662855 4.946376 6.444971
W 1.126049 4.994737 5.120428
W 1.961959 5.523819 0.208642
W 3.275513 4.784240 6.482131
W 5.117298 5.012379 6.153742
W 5.456347 5.484913 5.389007
W 6.358403 4.211596 5.858038
W 5.893669 5.623772 6.353235
W 0.577454 5.914585 6.095430
W 1.365066 6.889696 6.340084
W 1.986533 5.925659 6.204800
W 4.138011 5.521786 6.475766
W 4.981142 6.261184 6.399476
W 5.574854 5.781698 0.389430
W 6.423894 6.176591 0.106072
W 6.867366 6.281654 1.223265
W 1.429107 0.133216 0.963366
W 2.512401 0.637767 1.502778
W 3.073485 6.345186 0.077349
W 4.174466 6.875820 0.133039
W 5.341323 6.789442 0.316792
W 6.749148 1.055076 0.402816
W 0.437488 0.549540 1.423901
W 1.387524 1.058681 1.689097
W 2.530566 1.634737 0.524112
W 2.734035 0.532630 0.250605
W 4.591391 0.751186 0.595369
W 6.613087 1.280903 1.482164
W 0.667938 1.977629 1.179139
W 1.763894 2.255868 0.593372
W 2.463307 2.468282 6.338175
W 2.772127 2.530909 1.216899
W 3.807677 0.865619 6.842164
W 6.023098 1.688952 0.199253
W 6.684136 2.265591 0.829810
W 6.930197 3.379712 1.285484
W 1.103790 3.051580 1.501545
W 2.155861 3.589998 1.279489
W 3.128861 2.659624 0.247903
W 4.596060 2.245210 1.410097
W 5.612666 2.603580 0.828589
W 5.746716 3.485210 1.395132
W 0.393946 3.934341 0.536300
W 1.240594 4.103637 1.271432
W 1.634905 3.177950 0.200687
W 3.219202 3.897211 1.274627
W 4.241709 2.782042 0.400837
W 5.194932 4.258611 0.677247
W 5.777750 4.775891 6.913918
W 6.297443 4.359127 0.866331
W 1.214155 4.675900 0.161355
W 2.141863 4.778100 0.797249
W 3.088587 4.477642 0.477270
W 4.114035 4.060840 6.886596
W 4.671125 5.117491 0.313475
W 5.095803 5.205008 1.312026
W 0.220487 5.293199 0.224820
W 0.830362 6.218666 0.399349
W 2.160218 6.557399 0.418104
W 2.865541 5.627072 0.904242
W 3.850689 5.813062 0.541976
W 4.715572 6.080430 0.993912
W 6.460541 5.393151 0.912192
W 6.341550 0.269428 1.062634
W 0.793005 6.469828 1.506791
W 2.314350 6.731559 2.396550
W 3.029427 6.590704 1.382795
W 3.493376 0.754768 1.035227
W 5.037482 0.338414 1.512003
W 5.665524 6.079504 1.451502
W 6.814383 1.030960 2.487921
W 0.825596 0.417773 2.454693
W 2.275578 1.140862 2.393002
W 2.989876 1.461461 1.582784
W 3.750866 1.841344 0.875884
W 4.382540 1.076506 2.027018
W 5.887630 0.677227 2.040939
W 6.942194 2.354666 1.937402
W 0.640566 1.629779 2.388039
W 1.573867 2.039525 1.941871
W 2.564268 2.071988 2.312413
W 3.645793 2.335158 1.830376
W 5.376994 1.711931 1.648295
W 6.012316 1.696715 2.499968
W 6.731562 3.095583 2.587633
W 0.884962 2.773895 2.652115
W 2.035754 3.018246 2.099329
W 3.064231 3.203164 2.020476
W 4.212071 3.710211 2.170375
W 4.986297 3.160794 1.986881
W 6.000579 2.641005 1.953020
W 6.575580 3.904318 2.077504
W 0.693206 3.771489 2.297204
W 1.706279 4.149218 2.274534
W 2.741172 3.974622 2.728294
W 4.535179 3.476689 1.077846
W 4.674090 4.629762 2.632991
W 4.913565 4.225861 1.692106
W 0.653921 5.486096 2.396995
W 0.274740 4.512375 1.453877
W 2.750932 5.792389 2.102957
W 2.714507 4.798283 1.779439
W 3.700567 4.485895 2.164440
W 4.011612 4.593808 1.055486
W 5.682419 5.023898 2.233067
W 0.715811 5.410772 1.164405
W 1.449254 5.061641 1.742336
W 2.001101 6.136699 1.449566
W 3.509359 6.374020 2.390684
W 3.570052 5.635998 1.546868
W 4.475703 5.649416 2.112154
W 6.514791 5.829658 2.826586
W 6.604221 6.856314 2.180277
W 1.325134 6.961793 3.672733
W 2.711231 6.923278 3.342596
W 3.654887 0.194487 3.129163
W 4.098054 6.644373 1.520372
W 5.121019 1.323747 2.965675
W 5.713738 6.781378 2.947958
W 5.989080 0.811386 3.188844
W 0.417416 1.130714 3.426652
W 1.442276 1.186127 3.049911
W 3.513340 0.587571 2.206246
W 4.163944 1.154213 3.338907
W 4.606663 2.148515 3.438664
W 5.748863 0.960179 4.320758
W 0.002361 2.025373 2.975942
W 1.390938 1.515081 4.219699
W 1.865018 2.271773 3.033335
W 2.832558 2.807803 3.192352
W 3.149196 1.350178 3.078172
W 5.044681 2.241067 2.485055
W 6.066645 1.842539 3.508494
W 0.403186 3.381755 3.461521
W 1.103258 2.470262 3.737096
W 1.405822 3.593415 3.394544
W 4.090501 2.692797 2.827551
W 3.982201 2.900956 3.897809
W 4.967240 3.377898 3.125549
W 5.794136 2.744258 3.013764
W 6.602832 4.687696 2.752935
W 0.654012 4.403991 3.246760
W 1.975761 4.553522 3.486494
W 2.853762 4.132481 3.879133
W 4.007790 3.989917 3.203396
W 5.008298 4.084813 3.897583
W 5.639478 4.013984 2.338641
W 0.319579 5.494011 3.609593
W 1.666444 5.113172 2.746426
W 2.079940 5.288465 4.266144
W 3.185694 5.020494 2.987869
W 4.175060 5.194257 3.346103
W 5.219408 5.331099 3.736822
W 6.203258 3.753769 3.217999
W 0.957755 6.400452 2.769735
W 1.281062 5.837945 3.765902
W 2.369642 5.763289 3.274774
W 3.385817 6.092026 3.325776
W 4.540164 6.126923 3.089965
W 4.895639 6.602015 2.343317
W 6.093712 5.661094 3.969924
W 6.770598 0.206586 3.178611
W 0.360213 6.585749 3.833698
W 2.088719 6.652720 5.355567
W 3.371665 0.128876 4.206192
W 4.350092 0.005166 4.652225
W 4.957757 0.163841 3.509267
W 6.035234 6.910600 3.999665
W 6.978267 0.581661 4.566217
W 0.485144 1.478093 5.112626
W 1.202308 0.420447 4.553377
W 2.129353 0.634738 3.590211
W 3.308842 1.142175 5.028621
W 4.260103 1.034618 4.446424
W 5.280102 1.101303 5.394836
W 0.282627 1.853234 4.077935
