108
Caixa no tempo 800
W 0.293918 6.569283 5.905903
W 0.910619 6.753167 6.859535
W 1.838980 0.601628 6.896810
W 2.665915 6.969343 6.420832
W 3.490812 6.409344 6.049928
W 4.538488 0.083832 6.188047
W 5.842900 6.553157 5.914752
W 6.948268 0.635789 6.171983
W 0.768249 0.715502 0.158714
W 1.569386 1.488399 6.546937
W 2.834631 1.139104 6.182807
W 3.815848 0.890543 6.091014
W 4.663078 0.868720 6.747891
W 6.096236 1.181515 6.722197
W 6.884085 1.747931 6.370497
W 0.915524 2.484685 6.416043
W 2.050577 2.090066 5.774570
W 3.246935 2.070147 6.735295
W 4.439395 1.690986 5.812529
W 5.503872 1.625695 5.976892
W 6.153505 2.596861 6.600401
W 0.080038 2.848654 6.984125
W 1.169397 3.386600 0.062704
W 1.692898 3.131336 6.173699
W 2.747232 2.995527 5.871752
W 4.227460 2.436806 6.812667
W 5.158877 2.884465 6.369802
W 6.240173 3.497178 0.189376
W 6.647371 3.895813 6.097673
W 0.805661 4.156426 6.197614
W 1.853481 4.415912 6.615006
W 2.925246 3.950425 6.732995
W 3.830859 3.450314 6.256879
W 4.912465 3.875473 6.541290
W 5.792330 3.589443 5.790944
W 0.052859 4.817367 6.394166
W 1.567701 4.839317 5.606381
W 2.063562 5.514932 6.822494
W 2.782614 4.937864 6.331358
W 4.503887 4.963902 5.947378
W 5.277203 5.657002 5.756331
W 5.959626 4.810449 5.880740
W 6.440035 5.706304 6.127670
W 0.543067 5.442117 5.888971
W 1.712161 6.455760 6.230997
W 2.550554 5.898544 5.977202
W 3.711733 5.459990 6.504032
W 4.629756 5.998453 6.474491
W 5.665709 5.739613 0.137032
W 6.544516 6.834197 0.008877
W 0.371763 6.598089 0.731844
W 1.354751 0.153384 0.743959
W 2.641908 0.338400 0.779551
W 3.186062 6.056804 0.330139
W 4.462573 6.749215 0.342805
W 5.585361 6.933447 0.722335
W 6.673672 0.930912 0.532146
W 0.602868 0.498164 1.451623
W 1.667680 1.127415 0.966184
W 2.585360 1.297981 0.276950
W 3.421897 0.491549 0.032165
W 4.893368 0.871515 0.816652
W 6.109718 1.583625 1.545129
W 0.337430 1.895100 0.913771
W 1.307046 2.340808 0.343882
W 2.180965 2.364432 6.751595
W 2.939675 2.264345 0.843740
W 3.891699 1.415704 0.106225
W 5.222602 1.882974 0.094460
W 6.279499 2.258546 0.790160
W 0.123137 3.113723 0.970985
W 1.050409 2.795156 1.199567
W 1.934981 3.241353 1.224741
W 3.186840 2.943544 0.032702
W 4.171365 2.569394 1.220575
W 5.243031 2.898997 0.634781
W 6.193211 3.516363 1.308226
W 0.280801 4.032115 0.062499
