108
Caixa no tempo 1300
W 0.372118 6.089037 5.802938
W 0.715617 6.957509 0.239072
W 1.518235 0.742926 0.270857
W 2.146941 0.140409 6.330998
W 3.817451 6.662856 5.830216
W 4.618160 0.059968 6.606688
W 6.567698 6.632007 6.113998
W 6.931191 0.406291 6.832119
W 0.732831 1.370694 0.208852
W 1.851812 1.463395 6.294856
W 2.861294 1.410628 6.332436
W 3.977989 0.992773 6.049593
W 4.908467 1.087771 6.296338
W 5.840015 0.873802 6.820715
W 6.816978 1.582299 6.247073
W 0.845987 2.387151 6.238744
W 2.593917 2.127139 5.639901
W 3.601099 2.242386 6.201146
W 4.746524 1.659017 5.450070
W 6.028954 2.197129 5.691112
W 6.423911 2.805035 6.804910
W 0.429589 2.436026 0.447748
W 1.264795 3.372937 6.819976
W 2.076116 4.087595 5.563647
W 2.795522 3.125307 5.973530
W 4.661883 1.987879 6.639992
W 5.366364 2.808417 6.446370
W 6.144993 3.935278 0.264186
W 0.037238 3.570017 6.432364
W 1.096025 4.261253 5.985229
W 2.175504 4.433805 6.866190
W 3.155848 3.890622 6.705417
W 3.944480 3.195402 6.150678
W 4.950784 3.805362 6.487149
W 6.046310 3.584795 5.993976
W 6.624279 4.939108 6.508624
W 1.465174 4.958652 5.139544
W 2.091231 5.702749 0.220144
W 2.353414 5.091734 5.994107
W 4.504039 4.872433 5.864376
W 5.332581 5.023040 5.237206
W 6.327452 4.456203 5.417897
W 5.633216 5.713385 6.547610
W 1.185837 5.455312 6.410361
W 1.235379 6.618313 6.362325
W 2.190966 6.033593 6.166183
W 3.743941 5.261252 6.539403
W 4.546546 6.051713 6.515646
W 5.338178 5.755136 0.520420
W 6.389327 6.469060 0.198808
W 0.318840 6.418375 1.098382
W 1.294300 0.142226 1.034548
W 2.376959 0.559491 1.004047
W 3.088089 6.098904 6.971446
W 4.465377 6.674527 0.539710
W 5.480334 6.926075 0.135099
W 6.642247 1.228250 0.493481
W 0.423833 0.590724 1.532416
W 1.564444 1.167681 1.215892
W 2.634658 1.437535 0.453135
W 3.230668 0.232449 0.070013
W 4.959215 1.079549 0.683893
W 6.571475 1.284905 1.524016
W 0.627243 1.666179 1.276728
W 1.609700 1.977578 0.433291
W 2.337927 2.448164 6.579397
W 3.015588 2.292714 1.100446
W 3.581741 1.235712 0.229932
W 5.998826 1.830780 0.004709
W 6.570463 2.240997 0.860729
W 0.023210 3.380419 1.419907
W 0.834105 2.806556 1.427348
W 1.884514 3.108853 1.373266
W 3.235674 3.049805 0.479066
W 3.940578 2.671244 1.283849
W 5.607198 2.862931 0.485451
W 5.812520 3.733109 1.353038
W 0.385983 3.924093 0.386384
W 1.194265 3.824110 1.073397
W 2.189695 3.561071 0.494475
W 3.350566 3.913754 1.037410
W 4.442368 2.896661 0.130048
W 5.087810 4.237462 0.698962
W 6.050189 5.010944 0.452053
W 6.531332 4.280653 1.177642
W 1.062513 4.785732 0.219703
W 1.877017 4.730886 0.991705
W 3.144659 4.715337 0.412070
W 4.043886 4.243134 0.076597
W 4.996933 4.947735 6.728286
W 5.319432 5.102238 1.394509
W 0.374805 5.724566 0.018874
W 1.293598 5.858975 0.813476
W 2.161138 6.723332 0.402247
W 2.770640 5.579171 0.987929
W 3.753890 5.547269 0.536478
W 4.936892 6.225152 1.330777
W 6.419862 5.684680 1.034778
W 6.337152 0.261114 1.080678
W 0.968415 6.379997 1.902906
W 1.906701 0.198598 2.202753
W 3.098649 6.545648 1.490786
W 3.769585 0.229720 1.134625
W 5.147171 0.272575 1.323246
W 5.830287 6.059449 1.965055
W 0.095766 1.060755 2.470212
W 0.744788 0.184724 2.536989
W 2.282914 1.234367 2.030889
W 3.288139 1.242582 1.416543
W 4.227534 1.623772 0.991430
W 4.970697 1.071182 1.966708
W 6.072165 0.504462 2.094326
W 6.845178 2.241090 1.931774
W 1.077779 1.383962 2.219692
W 1.881537 2.163737 1.853009
W 2.838084 2.235409 2.173497
W 3.845623 2.213181 2.268698
W 5.306862 1.958269 1.073184
W 6.122156 1.681849 2.326053
W 6.597826 3.124752 2.373126
W 0.759618 2.375587 2.381221
W 1.910313 3.066824 2.453867
W 2.978449 3.184507 1.677671
W 3.833721 3.850768 1.975648
W 4.989703 3.154473 2.016906
W 5.862055 2.789252 1.611284
W 6.647217 4.081726 2.164042
W 0.552583 3.465275 2.421502
W 1.687576 4.170721 2.150078
W 2.817499 4.104595 2.648349
W 4.534673 3.499280 1.118885
W 4.297609 4.586176 2.760397
W 4.905034 4.300912 1.860268
W 0.153444 5.314217 2.274096
W 0.639938 4.366311 1.968211
W 2.509331 5.476923 2.158086
W 2.591970 4.464361 1.798259
W 3.451243 5.057271 2.108569
W 4.247613 4.810915 1.085927
W 6.055586 5.008585 2.329718
W 0.207720 5.120487 1.353193
W 1.248277 5.399001 1.740041
W 1.926775 6.299732 1.499773
W 3.308868 6.168706 2.616711
W 3.885309 5.890992 1.764047
W 4.710218 5.548406 2.259026
W 6.566092 5.936618 2.838524
W 6.825671 6.853873 2.104433
W 1.590404 0.113335 3.244781
W 2.506516 6.590059 3.043087
W 3.449152 0.037516 3.195965
W 4.229887 0.511579 2.473451
W 5.122601 0.903424 3.043445
W 5.758775 6.745708 2.894456
W 6.172214 0.718782 3.195988
W 0.536785 0.722202 3.446279
W 1.488975 1.131707 3.475636
W 3.104804 0.558754 2.361435
W 3.933507 0.854834 3.716868
W 4.381908 1.695178 3.303988
W 5.621451 1.047862 4.029159
W 6.960526 2.174853 3.056848
W 0.926477 1.923279 3.895703
W 1.524806 2.054539 3.051894
W 2.482223 2.329638 3.293412
W 3.318192 1.903563 3.153839
W 4.899809 2.168263 2.102211
W 5.944132 2.104878 3.816908
W 0.273801 3.553672 3.563447
W 1.027609 2.888906 4.176641
W 1.855887 3.058541 3.449139
W 3.216995 3.160197 2.817516
W 4.218905 2.952540 4.549000
W 4.647703 3.045490 3.068564
W 5.703335 2.631550 2.698213
W 0.155816 4.455975 3.000093
W 1.157886 4.163853 3.057499
W 1.878157 4.554324 3.624988
W 3.032622 4.128801 3.666783
W 4.014792 3.854129 3.325345
W 5.017458 4.078278 4.003249
W 5.723226 3.686384 2.507207
W 0.092547 5.386892 3.605901
W 1.119767 5.143757 2.790387
W 2.552849 5.210194 4.113020
W 2.828907 5.054968 3.079433
W 3.848553 4.965816 3.662973
W 5.127151 5.071680 3.426493
W 6.156325 3.976742 3.413953
W 0.988716 6.233222 3.092335
W 1.276180 5.546090 4.096493
W 1.934951 5.663939 3.286261
W 3.127307 5.876417 3.757030
W 4.268380 6.043568 3.275456
W 4.783567 6.670653 2.274220
W 6.086965 5.930002 3.824809
W 6.874047 0.011086 3.572393
W 0.631790 6.633246 4.195959
W 1.880027 6.733607 5.360468
W 2.953857 0.189070 4.225160
W 4.107485 6.758519 4.122466
W 4.976705 6.943542 3.453676
W 5.932796 6.948970 4.082857
W 6.651558 0.776725 4.190418
W 0.665748 1.067327 4.549351
W 1.620525 0.466414 4.215921
