256
Caixa no tempo 9800
W 6.379670 6.529977 6.170320
W 0.382897 0.426225 0.409129
W 1.429791 0.551369 6.798790
W 2.365383 0.070963 6.341699
W 3.666233 6.497922 5.926848
W 4.351029 0.378118 5.849676
W 5.791276 0.475975 6.239672
W 0.282703 0.043097 6.369353
W 0.455224 1.891702 0.024341
W 1.505098 1.948332 6.802257
W 2.656154 1.433370 6.433195
W 4.088838 1.489154 5.541255
W 5.303383 1.255256 6.697279
W 5.608880 1.184745 0.757003
W 6.771044 1.342797 5.869368
W 0.875629 2.325151 6.097624
W 3.165385 2.238512 5.815715
W 4.001398 1.660332 6.634765
W 4.767379 2.111366 5.928903
W 5.813723 1.909821 5.823918
W 6.843579 2.602023 6.426774
W 0.659125 2.917518 0.158861
W 0.870042 3.892416 6.380314
W 1.661044 4.681476 5.811336
W 1.764439 3.451092 6.253413
W 4.669312 1.665263 0.497283
W 5.266415 2.416546 6.790405
W 6.094793 3.097557 0.341865
W 6.760278 3.861523 6.359553
W 0.575013 5.019757 6.147495
W 2.597834 4.994432 6.810222
W 2.738222 3.381396 6.739677
W 3.637166 3.122955 6.019455
W 5.010086 3.309057 6.436227
W 5.851094 3.029833 5.971043
W 6.503923 4.914081 6.311069
W 1.085142 5.205570 5.181492
W 1.708861 5.391240 0.505109
W 3.686994 4.594822 6.216440
W 4.912533 4.928018 6.261620
W 5.618995 5.895202 4.955527
W 6.386653 4.361370 5.378771
W 5.887417 5.631455 5.872766
W 0.202467 5.950858 6.299013
W 1.237030 6.801985 6.075055
W 1.525583 5.696094 6.420498
W 4.074924 5.570460 6.322527
W 5.319764 6.525810 6.625254
W 5.779226 5.705228 0.137801
W 6.672919 6.341883 0.323438
W 6.922028 6.003535 1.421511
W 1.291865 0.798347 0.771257
W 2.044410 0.169177 1.354013
W 3.063140 5.881770 6.497643
W 4.222354 6.526933 6.856003
W 5.339234 0.218170 0.410526
W 6.482181 0.888105 6.829278
W 0.471609 0.639350 1.529077
W 1.671064 1.284328 1.677327
W 2.032661 1.671923 0.753478
W 2.281330 0.681587 0.529360
W 4.302149 0.677056 0.255797
W 6.714464 1.340562 1.565773
W 0.933054 1.660909 0.941074
W 1.668379 2.785228 0.456411
W 2.202064 2.461200 6.259531
W 2.653499 2.374151 1.248687
W 3.250314 0.492549 6.504640
W 6.310435 1.917273 6.861632
W 6.744288 2.305949 0.719814
W 6.847411 3.350875 1.163083
W 1.094535 3.184629 1.459963
W 2.297053 3.671044 1.436807
W 3.192824 2.349824 6.770914
W 4.743902 2.303728 1.381652
W 5.680501 2.281184 0.866414
W 5.629741 3.427115 1.287595
W 0.639246 3.977974 0.414399
W 1.326763 4.193628 1.207506
W 1.798099 3.721891 0.187983
W 3.539972 3.736649 1.332263
W 4.188603 2.564239 0.450382
W 4.902457 3.996587 0.456359
W 5.648713 4.417245 6.768770
W 6.423392 4.083127 0.519639
W 1.329443 4.817082 6.792558
W 2.358153 4.585946 0.926905
W 3.413950 4.360625 0.399948
W 3.980293 3.590670 0.225168
W 4.732352 5.265342 0.303893
W 4.973665 5.496602 1.427879
W 0.278044 5.064043 0.319186
W 0.831129 6.477644 6.963711
W 1.792586 6.501729 0.250083
W 2.783749 5.498154 0.665372
W 3.639593 5.657840 0.344099
W 4.909348 6.172358 0.678158
W 6.062116 5.032289 0.944891
W 6.387544 0.215168 0.817968
W 1.004916 6.745691 1.120205
W 2.406766 6.585813 2.328657
W 3.011999 6.276262 1.388865
W 3.353268 0.655364 0.629171
W 4.878038 0.625572 1.312737
W 5.631242 6.542293 1.343691
W 6.842812 0.862270 2.513061
W 0.879090 0.444010 2.930509
W 2.152560 0.743898 2.423882
W 2.825081 1.208947 1.470496
W 3.554622 1.658669 0.686931
W 3.998510 1.585014 1.604956
W 5.622061 0.572889 2.073244
W 0.254764 2.409878 1.607205
W 0.731425 1.408276 2.172400
W 1.786794 2.362202 1.848068
W 2.923910 2.236508 2.843465
W 3.609382 2.694615 1.500869
W 5.413843 1.533558 1.745953
W 6.010948 1.537842 2.647020
W 6.838241 3.259565 2.275338
W 0.975572 2.791100 2.721636
W 2.120441 3.256625 2.512402
W 3.169012 3.417829 2.368000
W 4.213575 3.282428 2.143417
W 5.145506 3.006511 2.143805
W 6.032140 2.483936 2.037704
W 6.739520 4.345923 1.942742
W 0.777692 3.871283 2.302871
W 1.575169 4.446891 2.479181
W 2.598731 4.019286 3.047820
W 4.521495 3.342442 1.184997
W 4.788220 4.458398 2.822333
W 4.963301 4.032898 1.905996
W 0.885218 5.493053 2.200722
W 0.464623 4.688755 1.215396
W 2.750304 5.668283 2.094623
W 2.719062 4.371788 1.978088
W 3.510411 4.496569 2.474574
W 4.385397 4.494877 1.118124
W 5.417571 5.872032 2.262701
W 0.821357 5.717097 0.987109
W 1.743187 5.168608 1.616497
W 1.874431 6.173815 1.458682
W 3.401986 6.430691 2.678680
W 3.884781 5.525895 1.400101
W 4.237399 5.545993 2.628192
W 6.363325 5.862259 2.692833
W 6.569649 6.745891 2.062097
W 1.598765 6.645050 3.336763
W 2.700898 6.825788 3.378627
W 4.032252 0.179349 3.178745
W 4.059772 6.618046 1.058009
W 4.923069 0.944818 2.753825
W 5.710952 6.724906 2.778223
W 6.232394 0.880609 3.298974
W 0.227695 0.950748 3.706013
W 1.616491 1.759145 2.926652
W 3.709175 0.569934 1.674741
W 3.939020 1.646940 3.480365
W 5.012047 2.011615 3.517657
W 5.651877 0.958480 4.488131
W 0.011541 1.983987 3.194390
W 1.320157 1.617522 4.094600
W 2.074107 2.873748 3.458529
W 3.169221 3.025404 3.487852
W 3.143971 1.020212 2.579416
W 4.962075 1.995818 2.491446
W 5.924081 1.849336 3.943939
W 0.368407 3.650733 3.333604
W 0.736190 2.660589 3.710410
W 1.608694 3.827942 3.350925
W 3.993207 2.563805 2.901817
W 4.486238 3.169716 4.065028
W 4.974877 3.331686 3.074016
W 5.958088 2.653526 3.118026
W 6.179981 4.893029 3.192485
W 0.385669 4.759154 3.065341
W 2.267049 4.786736 3.861586
W 2.747355 3.830935 4.247779
W 3.746454 3.980201 3.507390
W 4.666889 4.253352 3.903189
W 5.832059 3.778235 2.637856
W 0.159711 5.645464 3.400198
W 1.924906 5.315767 2.786871
W 1.979544 5.610466 4.702409
W 2.919090 5.157746 3.062974
W 3.986348 5.017252 3.527647
W 5.257519 5.207970 3.516265
W 6.267434 3.565787 3.547968
W 0.564532 6.511709 2.418979
W 1.236052 5.580625 3.493317
W 2.265571 5.837635 3.638570
W 3.581483 6.127485 3.739463
W 4.664476 6.450874 3.216765
W 4.495129 6.960161 2.237551
W 6.364947 5.597587 4.041444
W 6.633362 6.753400 3.277947
W 0.726517 6.588750 3.819201
W 2.122581 6.323266 5.569418
W 3.409666 0.180476 4.111929
W 4.307664 6.744537 4.817079
W 4.901691 0.427769 4.061543
