108
Caixa no tempo 1400
W 0.466364 5.986732 5.757758
W 0.772440 6.940684 0.304481
W 1.672855 0.772008 0.299432
W 2.111125 0.258643 6.281622
W 3.726799 6.567381 5.807580
W 4.502439 0.195302 6.407578
W 6.616927 6.593087 6.102520
W 6.863100 0.385025 6.781027
W 0.639731 1.402234 0.210568
W 1.952093 1.560760 6.264800
W 2.982432 1.360604 6.424450
W 3.838358 1.045123 6.174242
W 5.064845 1.023458 6.359666
W 5.972758 0.726443 6.661660
W 6.819406 1.466861 6.353418
W 0.779061 2.332069 6.280379
W 2.593857 2.050045 5.666130
W 3.727559 2.163646 6.158600
W 4.735229 1.654118 5.445097
W 6.032366 2.316818 5.575691
W 6.506121 2.892397 6.819006
W 0.521963 2.583516 0.344815
W 1.297666 3.486286 6.843976
W 2.012463 3.970976 5.462192
W 2.919778 3.095428 5.925680
W 4.798353 2.001175 6.725313
W 5.486994 2.756038 6.393096
W 6.093704 3.906857 0.121023
W 0.193015 3.639304 6.360782
W 1.150470 4.258411 6.006375
W 2.249303 4.580283 6.896645
W 3.193465 3.723933 6.686345
W 4.029950 3.305823 6.071604
W 5.122892 3.741290 6.613387
W 6.025156 3.692533 6.088103
W 6.568777 4.838730 6.691834
W 1.729771 4.842270 5.045061
W 2.030531 5.724113 0.196515
W 2.269942 5.137963 6.025558
W 4.414103 4.905604 5.911934
W 5.484960 5.014966 5.158296
W 6.446026 4.531315 5.480397
W 5.577838 5.841229 6.579380
W 1.154900 5.218752 6.432573
W 1.140137 6.598471 6.378977
W 2.093453 6.246528 6.164948
W 3.754184 5.274371 6.599447
W 4.486786 6.030500 6.552962
W 5.251066 5.726165 0.599098
W 6.405993 6.370854 0.291378
W 0.389321 6.264211 1.177637
W 1.384717 0.107689 1.193910
W 2.482370 0.530560 1.018086
W 3.061009 6.124942 6.959602
W 4.359116 6.679153 0.585826
W 5.297830 6.788907 0.133287
W 6.689127 1.316776 0.446480
W 0.471579 0.551748 1.431677
W 1.562547 1.214819 1.321968
W 2.449310 1.497379 0.339904
W 3.224776 0.183933 0.121047
W 4.836226 0.991820 0.632585
W 6.614541 1.173955 1.521057
W 0.580023 1.753567 1.237564
W 1.436857 2.084462 0.496691
