108
Caixa no tempo 1800
W 0.201850 5.763361 5.727002
W 0.707905 6.771384 0.631050
W 1.296902 0.585714 0.269991
W 2.265629 0.760900 6.438698
W 3.664410 6.415716 6.214116
W 4.794147 6.977810 6.087912
W 6.531284 6.359009 6.188511
W 0.274104 0.324960 6.760894
W 0.631178 1.358989 0.031496
W 1.819868 1.921772 6.266790
W 3.105117 1.536935 6.468769
W 4.104523 0.992928 6.439340
W 5.368785 1.272200 6.255820
W 6.133871 0.282401 6.704989
W 6.706009 1.277854 6.347975
W 0.270568 2.194238 6.347951
W 2.591561 1.894493 5.593360
W 4.041384 2.356036 6.143560
W 4.712555 1.605640 5.453095
W 6.415257 2.316747 5.802458
W 6.528423 2.965974 6.620610
W 0.437982 2.973309 0.229324
W 1.374808 3.293073 6.943912
W 2.232177 3.354956 6.274391
W 3.191269 2.958566 5.810152
W 4.688419 1.945520 6.815295
W 5.553448 2.916624 6.083392
W 6.069037 3.824511 0.655297
W 0.242076 3.793396 6.545905
W 1.458695 4.337038 5.925080
W 2.311388 4.619127 6.563262
W 3.105585 3.942524 6.466856
W 4.506016 3.527247 6.103538
W 5.331806 3.739496 6.738036
W 6.238389 4.023917 6.274024
W 0.056740 4.817164 6.841600
W 1.873737 4.709012 5.068632
W 1.731865 5.696284 6.647637
W 2.264992 5.445897 5.646389
W 5.195621 5.010224 5.822336
W 5.984094 5.055221 5.108318
W 0.020923 4.346433 5.679963
W 5.538917 6.237940 6.315414
W 0.881851 5.127647 6.305561
W 1.188728 6.661876 6.504087
W 1.956978 6.492688 5.840903
W 3.405546 5.338847 6.647764
W 4.559485 6.058262 6.623593
W 5.259769 5.911369 0.348414
W 6.317901 6.223166 0.109631
W 0.064323 6.177889 1.106330
W 1.570322 0.185540 1.332703
W 2.641097 0.894890 1.235695
W 2.852964 6.115488 0.274994
W 4.312697 0.228851 0.456047
W 5.290844 6.928888 0.067533
W 6.363959 1.139347 0.333250
W 0.434148 0.487825 1.362043
W 1.777906 1.436136 1.381828
W 2.036377 1.541790 0.186922
W 3.002954 0.520683 6.950933
W 4.951666 1.078021 0.196759
W 6.359614 1.142464 1.362664
W 0.399843 1.591834 1.186852
W 1.335976 2.325646 0.673579
W 2.655062 2.479605 6.891403
W 2.706904 1.909138 0.848092
W 3.601834 1.329710 0.561757
W 5.886848 2.066730 6.687686
W 6.649279 2.354674 0.463591
W 6.459151 3.344507 1.424432
W 0.550602 2.669283 1.301480
W 2.312726 2.802256 0.818504
W 3.643200 2.223133 0.186855
W 3.500358 2.575482 1.290387
W 5.589889 2.687565 0.562881
W 5.542844 4.000425 1.743754
W 0.123885 3.991301 0.718745
W 1.208974 3.880637 0.797794
W 2.180938 3.803315 0.357470
W 3.296869 3.597916 0.572430
W 4.469133 3.088579 0.407329
W 5.170307 4.404331 0.689372
W 6.047754 5.112218 0.125666
W 6.414538 4.491101 1.320547
W 1.127068 4.342086 6.946821
W 1.984040 4.854209 0.743196
W 3.046770 4.650303 0.450229
W 4.089756 4.102908 0.035697
W 4.680754 4.900512 6.752773
W 5.201416 5.233589 1.375243
W 0.334773 5.973727 6.927461
W 1.267200 5.893415 0.718607
W 2.002102 6.687674 0.296917
W 2.822328 5.492877 1.043723
W 4.208157 5.560872 0.524651
W 4.650717 6.284138 1.176244
W 6.191500 5.561111 1.198354
W 6.612336 0.077424 0.618460
W 0.958483 6.151278 1.853064
W 2.082667 0.305958 2.214952
W 3.207067 6.783616 0.975213
W 3.839711 0.500291 1.268299
W 5.833712 6.587462 1.148430
W 5.612433 6.115272 2.204999
W 6.735722 1.251581 2.423929
W 0.151895 0.138898 2.515718
W 2.513017 1.166158 2.491819
W 3.377256 1.404196 1.881167
W 4.459433 1.874997 1.005977
W 4.962488 0.615481 1.207746
W 5.893723 0.548296 2.288925
W 6.651581 2.131005 1.714147
W 0.976189 0.733123 2.359758
W 1.690248 2.334821 1.798583
W 2.874546 2.277388 1.967820
W 3.947688 2.168172 2.224724
W 5.527725 1.676853 0.826655
W 5.709045 1.566902 2.661133
W 6.257319 3.044532 2.427949
W 0.685158 1.894131 2.599926
W 2.067715 2.974482 2.514198
W 2.709296 3.387260 1.675045
W 4.007340 3.722167 2.269507
W 4.576356 2.942820 1.930242
W 5.568255 2.438624 1.672108
W 6.718417 4.009539 2.304346
W 0.864353 3.349902 2.269486
W 1.710600 3.863173 1.929405
W 2.852770 4.261303 2.685265
W 4.469860 3.774959 1.213690
W 4.107586 4.632129 2.912032
W 4.637107 4.472183 1.950687
W 0.146560 5.230647 1.849917
W 0.622817 4.156587 1.589735
W 2.606791 5.480509 2.096402
W 2.710512 4.442286 1.548643
W 3.601643 4.903139 2.074364
W 3.990100 4.678442 1.162131
W 5.829705 4.833352 2.178734
W 0.872699 4.891830 0.891002
W 1.542853 5.119436 1.865444
W 2.353008 6.400565 1.220229
W 3.239500 6.063001 2.641939
W 3.478631 5.884000 1.683099
W 4.847630 5.380328 2.461214
W 6.559238 5.800431 2.621234
W 6.587071 6.544311 1.889579
W 1.471673 0.186205 3.159967
W 2.499211 6.729781 3.212711
W 3.561428 0.024067 3.102009
W 4.511727 0.921052 2.634346
W 5.269397 0.997455 3.516631
W 5.458214 0.055585 2.973591
W 6.351337 0.605964 3.277533
W 0.367976 0.960817 3.250500
W 1.336476 1.095397 3.482460
W 3.101839 0.254854 2.095802
W 4.022666 0.995936 3.708909
W 4.558868 1.765675 3.247264
W 5.850787 1.092111 4.345408
W 6.714630 2.145545 3.083873
W 0.635657 2.098393 3.788085
W 1.560794 2.049018 3.083421
W 2.528766 1.928248 3.622415
W 3.358236 1.616139 3.036817
W 4.905902 1.513511 1.884291
W 5.653352 1.914119 3.666201
W 6.932557 3.487930 3.162514
