256
Caixa no tempo 8800
W 6.468133 6.581614 5.761148
W 0.414382 0.246521 0.458732
W 1.436243 0.598165 6.859900
W 2.442307 0.112368 6.370049
W 3.649413 6.603065 5.955820
W 4.533615 0.353835 5.892463
W 5.547314 0.345280 6.380518
W 0.169240 0.342721 6.342039
W 0.411753 1.861301 6.967724
W 1.481599 1.723914 6.715661
W 2.623633 1.366841 6.298706
W 4.049799 1.530774 5.437012
W 5.111156 1.357054 6.508454
W 5.762978 1.033214 0.677412
W 6.789852 1.439616 6.261415
W 0.658154 2.472458 6.093310
W 3.285424 2.156537 5.479217
W 4.156011 1.728763 6.746171
W 4.854664 2.220735 5.960236
W 5.939618 2.093588 5.941561
W 6.662579 2.507384 6.615702
W 0.435867 3.013124 0.260150
W 0.887998 3.671737 6.240518
W 1.614311 4.414194 5.984741
W 1.975394 3.384626 6.025640
W 4.989256 1.697019 0.633099
W 5.271134 2.437860 6.854723
W 6.053680 3.073934 0.172108
W 6.739833 3.695260 6.596940
W 0.559331 4.789589 6.081712
W 2.225549 4.575719 6.676162
W 3.048281 3.528957 6.611525
W 4.138044 3.054717 6.249023
W 4.972904 3.552286 6.500753
W 5.912834 3.205860 6.186365
W 6.623831 4.874833 6.348026
W 1.012715 5.116151 5.219257
W 1.534232 5.606383 0.397670
W 3.344733 4.786124 6.404005
W 4.899523 4.985504 6.304819
W 5.489735 5.619673 4.981542
W 6.328567 4.030729 5.490028
W 5.892212 5.748761 6.111255
W 0.183652 5.955775 6.294770
W 1.336200 6.810764 6.133285
W 1.767851 5.906122 6.202584
W 4.092364 5.799476 6.355136
W 5.164146 6.375519 6.525081
W 5.651062 5.682465 0.204222
W 6.791394 6.133489 0.196700
W 6.920811 6.077675 1.215803
W 1.344736 0.547657 0.926676
W 2.331082 0.405325 1.544375
W 2.989836 5.861872 6.586972
W 4.193564 6.708887 6.965877
W 5.408858 0.162646 0.429173
W 6.650552 0.918722 0.104089
W 0.307459 0.534896 1.570700
W 1.570010 1.269909 1.684440
W 2.154017 1.535691 0.504237
W 2.424266 0.567831 0.328337
W 4.401312 0.780734 0.570781
W 6.507217 1.328248 1.212441
W 0.769300 1.971899 1.060046
W 1.671572 2.597697 0.690567
W 2.318910 2.411681 6.338330
W 2.544226 2.411840 1.211931
W 3.705461 0.504211 6.743066
W 6.092228 1.821809 0.073134
W 6.741799 2.238681 0.737801
W 6.947849 3.276406 1.147554
W 0.985276 3.175317 1.646687
W 2.152934 3.432941 1.264763
W 3.162223 2.406955 0.017916
W 4.600535 2.394480 1.571307
W 5.688036 2.355087 1.085471
W 5.906451 3.535894 1.318753
W 0.572783 4.003738 0.420711
W 1.262304 4.173425 1.204867
W 1.773875 3.633107 0.308888
W 3.435186 3.904711 1.452321
W 4.326135 2.712964 0.167624
W 5.167197 3.981559 0.539197
W 5.796177 4.675082 6.892447
W 6.521474 4.059898 0.583962
W 1.362521 4.591949 0.152547
W 2.193147 4.653714 0.726593
W 3.117926 4.435912 0.467746
W 4.000266 3.765731 0.040684
W 4.700187 5.134159 0.315903
W 4.968063 5.411304 1.308323
W 0.382768 5.272280 0.096462
W 0.794918 6.275341 0.254942
W 1.994721 6.640991 0.437344
W 2.683481 5.661565 0.681701
W 3.815721 5.806419 0.407925
W 4.796310 6.266903 0.690012
W 6.372073 5.196241 0.999598
W 6.390767 0.155609 0.910189
W 0.967562 6.632132 1.503141
W 2.398453 6.819232 2.365059
W 2.907216 6.567725 1.363653
W 3.375263 0.692405 0.820245
