256
Caixa no tempo 9500
W 6.339928 6.641029 6.043854
W 0.371584 0.397196 0.439311
W 1.518152 0.581643 6.853539
W 2.370915 0.128811 6.389984
W 3.695580 6.599769 5.976711
W 4.384652 0.341564 5.854895
W 5.767018 0.394649 6.265660
W 0.313625 0.102944 6.408006
W 0.482399 1.932269 0.039863
W 1.500497 1.936537 6.844826
W 2.565392 1.444890 6.347282
W 4.138032 1.517883 5.450309
W 5.333549 1.278706 6.591582
W 5.664540 1.141607 0.698491
W 6.780059 1.282570 5.949422
W 0.785578 2.366938 6.111364
W 3.159732 2.304106 5.735233
W 4.006600 1.729951 6.697943
W 4.773564 2.110280 5.882253
W 5.864496 1.950912 5.875753
W 6.749517 2.572148 6.423765
W 0.578146 2.936558 0.214281
W 0.871858 3.824298 6.348248
W 1.601322 4.629523 5.947782
W 1.904519 3.356231 6.201315
W 4.735653 1.711414 0.486397
W 5.237357 2.401941 6.805455
W 6.117348 3.040569 0.419323
W 6.746852 3.814820 6.437189
W 0.613555 4.972272 6.159180
W 2.576320 4.868248 6.758350
W 2.781883 3.424122 6.683367
W 3.830991 3.139669 6.026729
W 5.010917 3.368570 6.496744
W 5.892909 3.095700 5.980111
W 6.498497 4.917033 6.307296
W 1.054591 5.173252 5.221793
W 1.696478 5.442837 0.546990
W 3.530591 4.730796 6.264844
W 4.840001 4.974665 6.265766
W 5.576891 5.860815 4.956210
W 6.311431 4.269630 5.391232
W 5.911987 5.674172 5.894585
W 0.200860 5.919727 6.300966
W 1.263685 6.875745 6.064560
W 1.599198 5.758178 6.352365
W 4.095138 5.592952 6.346967
W 5.281553 6.487588 6.692196
W 5.817172 5.744143 0.195587
W 6.626042 6.297716 0.318266
W 6.957348 6.024606 1.363254
W 1.273611 0.782581 0.801612
W 2.156782 0.279318 1.424391
W 3.063277 5.792799 6.471457
W 4.197585 6.538009 6.839565
W 5.354882 0.155532 0.461779
W 6.537544 0.853962 6.966996
W 0.432725 0.592863 1.503620
W 1.631852 1.303895 1.543296
W 2.052373 1.645015 0.729534
W 2.302192 0.641054 0.427472
W 4.335692 0.739418 0.363569
W 6.668091 1.299926 1.452427
W 0.868792 1.729605 0.986653
W 1.664928 2.679088 0.468653
W 2.226231 2.435898 6.299816
W 2.601644 2.284754 1.267261
W 3.373570 0.459612 6.564459
W 6.144108 1.857842 6.851562
W 6.748730 2.355913 0.679627
W 6.959982 3.301699 1.180685
W 0.998008 3.284758 1.515904
W 2.222061 3.672632 1.397272
W 3.204408 2.328094 6.785390
W 4.759025 2.329613 1.435892
W 5.643691 2.335350 0.969042
W 5.736802 3.426836 1.235954
W 0.674978 3.981759 0.397017
W 1.340575 4.164309 1.224222
W 1.790226 3.726958 0.211943
W 3.517248 3.802724 1.358996
W 4.278437 2.585466 0.350065
W 4.967672 3.981109 0.391769
W 5.629190 4.431723 6.866354
W 6.431520 4.042113 0.521526
W 1.295657 4.789151 6.846642
W 2.243037 4.559850 0.862362
W 3.306833 4.372709 0.411415
W 4.071288 3.619951 0.176732
W 4.719818 5.237105 0.336295
W 4.978423 5.504534 1.382173
W 0.385216 5.090473 0.187792
W 0.838825 6.463308 0.030352
W 1.790873 6.526038 0.296300
W 2.626494 5.585077 0.690442
W 3.673908 5.692936 0.414708
W 4.902010 6.241770 0.665054
W 6.126704 5.124193 0.918170
W 6.409872 0.164471 0.733340
W 0.992713 6.723302 1.264077
W 2.414181 6.675946 2.354536
W 2.926858 6.272168 1.356254
W 3.286424 0.684996 0.670467
W 4.962067 0.577456 1.328622
W 5.683920 6.520970 1.330817
W 6.811438 0.922654 2.501289
W 0.954827 0.507016 2.839559
W 2.084419 0.726178 2.468077
W 2.738284 1.298670 1.451413
W 3.537633 1.696423 0.755160
W 4.099201 1.557399 1.664428
W 5.631700 0.552527 2.114348
W 0.210704 2.347211 1.612391
W 0.689109 1.458690 2.183815
W 1.799265 2.329347 1.876035
W 2.916360 2.219906 2.867122
W 3.544515 2.608879 1.546364
W 5.417262 1.508155 1.743490
W 6.014559 1.580781 2.562680
W 6.885418 3.247003 2.291557
W 0.995952 2.785205 2.692283
W 2.136493 3.185393 2.400660
W 3.134392 3.398669 2.328324
W 4.156862 3.274488 2.280821
W 5.167548 3.039287 2.110298
W 6.049854 2.524487 2.085945
W 6.699372 4.253973 1.919528
W 0.701409 3.878955 2.364461
W 1.585250 4.405585 2.398804
W 2.674767 4.097364 3.015155
W 4.573009 3.343582 1.107324
W 4.739820 4.564630 2.789613
W 4.878573 4.043673 1.850045
W 0.827003 5.556236 2.190075
W 0.437167 4.679173 1.247112
W 2.834431 5.734046 2.255089
W 2.696234 4.447511 1.904327
W 3.602916 4.470920 2.616031
W 4.310146 4.493763 1.075544
W 5.420263 5.775893 2.274877
W 0.884424 5.658805 1.040027
W 1.706201 5.046713 1.640929
W 1.897082 6.185953 1.407612
W 3.482138 6.371982 2.660940
W 3.859560 5.447794 1.366758
W 4.308070 5.536772 2.630832
W 6.370231 5.889495 2.773049
W 6.632174 6.700139 2.050837
W 1.598591 6.674409 3.461585
W 2.777777 6.865572 3.355441
W 3.927897 0.157538 3.107925
W 4.003648 6.580190 1.113353
W 4.943293 0.996667 2.756434
W 5.657344 6.703184 2.767073
W 6.131953 0.818965 3.359030
W 0.268934 0.943875 3.579132
W 1.551020 1.670255 2.966107
W 3.680950 0.582870 1.680604
W 3.968162 1.753203 3.470815
W 5.004991 2.124068 3.559396
