108
Caixa no tempo 2300
W 0.367630 5.554784 5.017833
W 0.703671 6.635118 0.792615
W 1.152559 0.514888 0.333746
W 1.920442 0.721107 6.187668
W 3.430106 6.464059 6.190932
W 4.328822 0.436121 6.257101
W 0.222163 6.412760 5.795720
W 0.278742 0.033355 6.806072
W 6.976394 1.277613 0.275053
W 1.711451 2.418704 6.562470
W 3.282564 1.376467 6.203085
W 4.388172 1.442192 6.884852
W 5.529093 0.363399 6.198081
W 6.080966 6.481225 6.465476
W 6.803041 0.919617 6.156002
W 6.733443 2.259385 6.605732
W 2.595009 1.730427 5.639141
W 3.976677 2.123544 5.753385
W 4.886391 1.575141 6.012989
W 6.189323 3.026426 5.894012
W 6.123540 3.240707 6.958869
W 0.055579 3.032153 0.367946
W 1.221170 3.306458 6.610526
W 2.090790 3.451375 6.133509
W 3.122844 2.742494 5.492405
W 5.036980 2.435367 6.844923
W 5.110098 2.622812 5.851581
W 5.547790 3.893130 0.711018
W 0.255033 4.089097 6.477605
W 1.179753 3.945425 5.795616
W 2.484464 5.106395 0.090493
W 2.979243 3.879500 6.496763
W 4.242837 3.462891 6.240161
W 5.181786 3.823364 6.647809
W 6.124759 4.387518 6.646659
W 0.116993 4.891975 0.180260
W 1.604851 4.658547 4.780779
W 1.743944 5.854394 6.673330
W 2.153030 5.427054 5.477209
W 5.255281 5.463931 5.131412
W 6.447807 5.034610 4.536702
W 0.180653 4.263037 5.254384
W 5.581377 5.553494 6.663181
W 0.845085 4.903246 5.983974
W 1.131459 6.813040 6.229023
W 2.356712 6.538612 6.207564
W 3.499635 4.927910 6.868338
W 4.728959 6.183990 6.754307
W 4.996341 5.687113 0.672434
W 6.653822 5.993263 0.173601
W 0.410724 5.451628 0.978947
W 1.612002 6.881588 1.369551
W 2.180671 0.801333 1.159594
W 2.810481 6.076766 0.018105
W 4.230080 0.019510 0.243481
W 5.360971 6.666049 0.392925
W 6.189645 0.514879 6.933886
W 0.604258 0.412318 1.832575
W 1.691903 1.732223 1.210067
W 2.654002 1.409100 6.952691
W 2.903525 0.442087 6.695614
W 5.201040 0.647846 0.222062
W 6.598652 1.080010 1.239649
W 0.750850 1.229226 1.146410
W 1.194865 2.349945 0.555677
W 2.818961 2.698598 6.568703
W 2.960724 2.287121 0.856956
W 3.484645 1.440000 0.611122
W 5.821310 1.360681 6.417840
W 6.938807 2.133062 0.914638
W 6.711595 3.006961 1.439888
W 0.670647 2.429189 1.606347
W 2.108975 2.995090 0.374760
W 3.770065 2.410038 6.935177
W 3.872560 2.398731 1.516363
W 5.422995 2.907711 0.834194
W 5.616806 3.621786 1.769462
W 6.948209 3.951112 0.924424
W 0.973542 3.256891 0.938619
W 2.071565 4.152210 6.919574
W 3.441968 3.362980 0.559497
W 4.407322 2.894049 0.640769
W 4.997006 4.624597 1.017639
W 6.032419 5.065478 0.370332
W 6.091048 4.432996 1.506603
W 1.347285 4.977594 0.142044
W 2.163301 4.765769 1.018295
W 2.922172 4.203259 0.542753
W 4.190210 4.095853 0.133789
W 4.745748 4.953607 6.859243
W 4.880994 5.363489 1.681593
W 0.665283 5.968333 6.971217
W 1.357295 5.769399 0.707768
W 2.081447 6.715725 0.240095
W 3.162747 5.305825 1.016911
W 3.879918 5.809247 0.348378
W 4.446029 6.793276 1.220010
W 6.020258 5.621572 1.424109
W 6.755735 0.155905 0.776780
W 0.744544 6.148071 1.696007
W 2.290445 0.262283 2.286957
W 3.224585 6.487941 0.974532
W 4.405206 0.838944 1.368199
W 5.448902 6.415218 1.470016
W 5.880149 5.945193 2.582586
W 6.714275 1.107560 2.368318
W 0.070485 0.156532 2.714658
W 1.975457 1.527450 2.845414
W 3.101397 1.071334 1.537910
