256
Caixa no tempo 8500
W 6.501099 6.577171 5.854911
W 0.410531 0.165939 0.457231
W 1.389357 0.613992 6.945189
W 2.537698 0.016851 6.325265
W 3.665972 6.586916 6.003125
W 4.520030 0.354681 5.980726
W 5.488831 0.356569 6.380947
W 0.078860 0.368370 6.281131
W 0.427563 1.807515 6.978934
W 1.537006 1.726533 6.635169
W 2.741862 1.308251 6.335212
W 4.105033 1.465577 5.528572
W 5.051703 1.380494 6.595822
W 5.700242 0.942583 0.707723
W 6.719422 1.555642 6.247962
W 0.655542 2.509005 6.105114
W 3.276086 2.125331 5.400780
W 4.173835 1.718587 6.770033
W 4.787452 2.214842 6.002307
W 5.958379 2.155353 5.961741
W 6.733864 2.495998 6.634771
W 0.407428 2.958829 0.207597
W 0.861397 3.595053 6.229793
W 1.538083 4.348035 5.861855
W 2.000087 3.415435 6.147745
W 5.001502 1.731538 0.661642
W 5.335858 2.498756 6.871215
W 5.990812 3.151785 0.213505
W 6.794077 3.664477 6.641457
W 0.638725 4.680409 6.094461
W 2.230636 4.483805 6.689802
W 3.138268 3.571338 6.563435
W 4.151229 2.947140 6.184751
W 5.019230 3.654983 6.495585
W 5.877297 3.238839 6.143600
W 6.661529 4.893013 6.342566
W 1.039734 5.061059 5.212859
W 1.577512 5.659068 0.300816
W 3.353460 4.732303 6.444192
W 4.928357 5.022731 6.327578
W 5.484265 5.473637 5.059018
W 6.303560 3.983669 5.597596
W 5.871612 5.735271 6.200312
W 0.247468 5.980024 6.206170
W 1.317175 6.785017 6.134197
W 1.838660 5.903572 6.191155
W 4.152369 5.781818 6.354179
W 5.077097 6.336791 6.470603
W 5.577966 5.657681 0.239911
W 6.719790 6.121107 0.192288
W 6.868034 6.165428 1.218478
W 1.439208 0.440874 1.006341
W 2.292017 0.429838 1.513447
W 2.970975 6.021594 6.746520
W 4.248837 6.748033 0.030892
W 5.344268 0.054076 0.347830
W 6.702838 0.926402 0.197790
W 0.249119 0.533714 1.602652
W 1.537467 1.149232 1.718937
W 2.239971 1.520408 0.494264
W 2.481309 0.559445 0.330314
W 4.440610 0.777508 0.628379
W 6.550354 1.359036 1.230290
W 0.796297 2.040969 1.065673
W 1.618243 2.564772 0.775546
W 2.330674 2.448093 6.337726
W 2.553669 2.479970 1.202202
W 3.750684 0.675119 6.773412
W 6.096926 1.840400 0.126257
W 6.711970 2.253073 0.839203
W 6.873772 3.251766 1.166936
W 1.089974 3.052924 1.510983
W 2.157603 3.370861 1.205815
W 3.165493 2.460577 0.109437
W 4.552723 2.363153 1.587736
W 5.667361 2.380177 0.947037
W 5.904653 3.546421 1.287790
W 0.454517 4.010077 0.442059
W 1.219125 4.167532 1.219962
W 1.785716 3.456238 0.287078
W 3.387099 3.932446 1.468981
W 4.292831 2.725056 0.203360
W 5.277720 4.040006 0.626196
W 5.777431 4.727285 6.957612
W 6.509709 4.123554 0.636979
W 1.235865 4.619428 0.150033
W 2.198403 4.756794 0.846222
W 3.141217 4.438232 0.466669
W 3.949403 3.920583 0.049889
W 4.697639 5.113937 0.292045
W 4.968160 5.358956 1.331881
W 0.381910 5.306956 0.140816
W 0.801211 6.253079 0.347283
W 2.052440 6.655688 0.472510
W 2.758768 5.660686 0.662876
W 3.837381 5.821347 0.436198
W 4.788715 6.218955 0.751877
W 6.462475 5.202705 1.018745
W 6.466203 0.168372 1.023826
W 0.957150 6.599945 1.497764
W 2.398602 6.759805 2.368899
W 2.882775 6.658781 1.393978
W 3.439050 0.708556 0.854281
W 4.964115 0.439347 1.480330
W 5.769136 6.342730 1.393283
W 6.794643 0.884668 2.406766
W 0.933796 0.622413 2.497420
W 2.158645 0.931015 2.535719
W 2.779019 1.481321 1.537314
W 3.548392 1.901852 0.900283
W 4.385303 1.308159 1.962426
W 5.876409 0.689254 2.087948
W 0.103348 2.233935 1.872265
W 0.730454 1.587577 2.272836
W 1.576977 2.168603 2.015460
W 2.856375 2.236437 2.465046
W 3.581617 2.446987 1.841350
W 5.368267 1.449320 1.574967
W 6.006551 1.705658 2.546494
W 6.846530 3.032019 2.567138
W 1.002036 2.813226 2.625527
W 2.018778 3.053062 2.260423
W 3.072115 3.283688 2.210944
W 4.216265 3.563559 2.382922
W 5.211549 3.192436 2.010866
W 6.067312 2.646101 1.874130
W 6.599895 3.974505 1.890817
W 0.583486 3.799599 2.364052
W 1.708112 4.013870 2.311670
W 2.766822 4.011731 2.882819
W 4.573220 3.266155 1.056983
W 4.773732 4.622612 2.673626
W 4.786452 4.215012 1.651846
W 0.720722 5.342589 2.376358
W 0.234375 4.654064 1.338993
W 2.788154 5.671927 2.298638
W 2.666979 4.774785 1.796696
W 3.646233 4.504343 2.229310
W 4.098572 4.448003 0.824698
W 5.512135 5.427320 2.359096
W 0.842965 5.581001 1.193209
W 1.709674 5.137483 1.608491
W 1.877712 6.084801 1.360425
W 3.735988 6.423653 2.421875
W 3.716078 5.316928 1.626617
W 4.530818 5.680343 2.304904
W 6.332046 5.802040 2.815419
W 6.539032 6.830703 2.023333
W 1.419531 6.779004 3.768387
W 2.820019 6.910045 3.338849
W 3.880211 0.288218 3.171308
W 3.982155 6.549100 1.323851
W 4.960710 1.159845 2.822516
W 5.762803 6.668870 2.799484
W 5.801261 0.737158 3.404490
W 0.359665 0.989800 3.307482
W 1.333484 1.473157 3.057333
W 3.611541 0.470762 1.927223
W 3.986706 1.478469 3.497513
W 4.851070 2.253201 3.622755
W 5.770746 0.990259 4.550140
W 6.926151 2.129294 3.108095
W 1.444498 1.452926 4.314965
W 1.966776 2.488105 3.125725
W 3.035733 3.052742 3.194243
W 3.128207 1.128259 2.943272
W 5.019261 2.279836 2.478763
W 6.087451 1.746953 3.817159
W 0.282362 3.326599 3.459878
W 1.104312 2.282459 3.510577
W 1.475409 3.658153 3.464645
W 3.971677 2.646518 2.733227
W 4.068501 3.038714 4.027526
W 4.804310 3.229525 3.187746
W 5.849857 2.663008 2.959737
W 6.308187 4.677247 2.841730
W 0.600066 4.617169 3.009780
W 2.185705 4.572783 3.605867
W 2.944134 3.982323 4.096081
W 3.905079 4.053084 3.367047
W 4.907324 4.146409 3.897699
W 5.634757 4.016812 2.435804
W 0.141325 5.558179 3.411478
W 1.798740 5.208122 2.621501
W 1.890286 5.220816 4.539463
W 3.007283 5.060506 3.087880
W 4.085969 4.985344 3.376525
W 5.157829 5.185037 3.618365
W 6.249801 3.690142 3.403232
W 0.761096 6.625096 2.500805
W 1.242706 5.756451 3.746901
W 2.325256 5.758660 3.418730
W 3.493492 6.037921 3.468831
W 4.747653 6.166113 3.252120
W 4.704583 6.789002 2.205894
W 6.271018 5.705775 4.107517
W 6.865977 6.904943 3.039635
W 0.326139 6.620406 4.113479
W 2.182856 6.582512 5.396773
W 3.406382 0.168614 4.224370
W 4.370997 6.927808 4.762618
W 4.860066 0.423114 3.571570
W 6.156254 0.127111 4.215300
W 0.207424 0.491846 4.606355
W 0.612281 1.271373 5.253998
W 1.195010 0.524171 4.871194
W 1.924239 0.741487 3.599881
W 3.157176 1.106041 5.020508
W 4.101819 0.906626 4.428923
W 5.041181 1.188338 5.333065
W 0.439892 1.928305 4.200084
W 1.288669 3.680606 5.220666
W 2.454247 1.639207 3.615562
W 3.025401 2.726001 4.575594
W 3.735620 1.881408 4.473243
W 5.009869 1.653105 4.499882
W 6.849538 2.629696 5.369152
W 1.092831 2.527131 5.068591
W 1.560038 4.275893 4.484737
W 2.159686 3.341317 4.348983
W 2.801711 3.340343 5.385480
W 5.203453 2.712099 5.017484
W 5.600998 2.801329 4.009313
W 6.745490 2.714725 4.078196
W 0.582399 3.198983 4.419731
W 0.795880 4.867448 4.083017
W 2.556005 4.305878 5.151881
W 4.077761 4.168055 5.773119
W 3.773018 3.934973 4.778541
W 5.109133 4.478101 5.356214
W 6.405394 3.356842 4.798521
W 6.919751 4.077729 4.166062
W 0.410942 4.100675 5.214001
W 2.506937 5.397861 5.648666
W 3.121810 5.097897 4.349331
W 3.617551 5.218792 5.366389
W 4.264332 5.227919 4.432690
W 5.733678 4.550335 4.551271
W 0.412011 5.662993 4.600168
W 1.477261 6.367705 4.667405
W 2.462512 6.413121 4.278325
W 3.520226 6.163894 4.574086
W 5.200261 6.461728 4.176622
W 6.647944 6.322211 4.852245
W 6.689368 5.507953 5.427475
W 0.615185 6.708334 5.438718
W 0.771644 1.095957 6.205637
W 1.868948 0.745412 5.806061
W 3.050957 0.172596 5.285495
W 4.643475 6.326918 5.562467
W 5.636940 6.768438 5.218582
W 6.358652 0.671076 5.341342
W 6.351346 1.722805 5.012100
W 2.103404 1.886354 5.002534
W 2.330307 0.677600 4.572627
W 3.959423 2.827117 5.154074
