256
Caixa no tempo 8200
W 6.464089 6.589065 5.989124
W 0.390171 0.168137 0.473219
W 1.358480 0.621370 0.029379
W 2.632562 6.916719 6.290502
W 3.644607 6.634677 6.036082
W 4.475511 0.365673 6.065910
W 5.478915 0.390921 6.329676
W 6.967008 0.379872 6.238708
W 0.491055 1.745095 0.058016
W 1.596020 1.733488 6.559493
W 2.857008 1.248245 6.377483
W 4.118365 1.396812 5.637833
W 5.134366 1.333082 6.667496
W 5.656006 0.870863 0.730496
W 6.672640 1.578250 6.178876
W 0.679208 2.526310 6.123526
W 3.186372 2.076858 5.386877
W 4.063694 1.766847 6.827009
W 4.769560 2.159678 5.986603
W 5.910320 2.236407 5.962043
W 6.719998 2.556299 6.591968
W 0.460944 2.914722 0.216826
W 0.823197 3.517180 6.240849
W 1.586355 4.347033 5.765876
W 2.018124 3.475317 6.262242
W 4.899045 1.748968 0.612582
W 5.325839 2.530079 6.853897
W 5.996391 3.289368 0.317844
W 6.838326 3.645856 6.657152
W 0.681573 4.594173 6.166269
W 2.282428 4.391789 6.722210
W 3.161520 3.588705 6.475164
W 4.093537 2.928167 6.130039
W 5.020616 3.782016 6.521633
W 5.856093 3.204385 6.083044
W 6.633956 4.920298 6.360199
W 1.079318 5.011248 5.182306
W 1.733495 5.621828 0.218408
W 3.360586 4.695299 6.467282
W 4.988704 5.048373 6.259325
W 5.480311 5.386493 5.156587
W 6.305711 4.031489 5.722583
W 5.884401 5.688856 6.262704
W 0.368716 5.973276 6.146222
W 1.326601 6.818941 6.193057
W 1.888110 5.890316 6.232740
W 4.213678 5.689096 6.394342
W 5.005944 6.312705 6.480619
W 5.532128 5.723087 0.312095
W 6.591593 6.136602 0.163550
W 6.854054 6.257385 1.249507
W 1.445758 0.298602 1.003491
W 2.294237 0.553491 1.516734
W 2.966286 6.199880 6.836674
W 4.292661 6.787894 0.072385
W 5.264057 6.881820 0.301500
W 6.744988 0.945183 0.294733
W 0.292422 0.526387 1.574870
W 1.485110 1.075889 1.753195
W 2.315240 1.577853 0.507125
W 2.578689 0.553464 0.313121
W 4.519324 0.780042 0.653329
W 6.589489 1.327652 1.306699
W 0.770818 2.061886 1.090799
W 1.620246 2.468927 0.761483
W 2.361219 2.455140 6.337885
W 2.642564 2.468992 1.214893
W 3.761324 0.860710 6.777569
W 6.061622 1.779870 0.167498
W 6.729490 2.327382 0.904733
W 6.864597 3.223337 1.193834
W 1.141454 2.993636 1.436252
W 2.158211 3.421593 1.231583
W 3.160045 2.531701 0.175271
W 4.554488 2.297250 1.540415
W 5.659982 2.473652 0.829145
W 5.827345 3.503399 1.258826
W 0.431231 3.994590 0.456807
W 1.199967 4.155566 1.242314
W 1.763548 3.334890 0.185282
W 3.325528 3.931742 1.400651
W 4.258136 2.715546 0.268906
W 5.338630 4.119428 0.680660
W 5.777755 4.712788 0.008913
W 6.377704 4.223797 0.698098
W 1.139330 4.654651 0.139471
W 2.199720 4.811765 0.870008
W 3.122374 4.444209 0.466739
W 3.975192 3.999410 6.946946
W 4.668888 5.107064 0.327338
W 4.975823 5.281823 1.367138
W 0.379744 5.292059 0.189776
W 0.775086 6.253555 0.423425
W 2.085044 6.613451 0.493606
W 2.812268 5.645331 0.719492
W 3.848158 5.818743 0.476285
W 4.809735 6.161414 0.821184
W 6.480918 5.240966 0.991150
W 6.479920 0.196879 1.079452
W 0.922431 6.582894 1.443282
W 2.390737 6.687730 2.376206
W 2.935784 6.639575 1.394479
W 3.459023 0.724850 0.904684
W 4.985151 0.413846 1.492139
W 5.714104 6.238844 1.406713
W 6.818437 0.921202 2.456164
W 0.893672 0.610047 2.380030
W 2.271122 1.025207 2.511938
W 2.838256 1.565711 1.585900
W 3.601426 1.908403 0.939442
W 4.413034 1.207476 2.025352
W 5.847252 0.755719 2.038719
W 0.086550 2.238169 1.881174
W 0.727610 1.598743 2.308259
W 1.554670 2.099278 2.002166
W 2.734355 2.178465 2.353824
W 3.582611 2.413267 1.833248
W 5.376830 1.496347 1.636812
W 6.005438 1.695888 2.548403
W 6.785823 3.031113 2.671699
W 0.920743 2.844995 2.714086
W 2.056890 2.950044 2.233090
W 3.068719 3.222997 2.120902
W 4.255392 3.610137 2.374840
W 5.116375 3.227603 1.987397
W 6.017962 2.696557 1.904365
W 6.651439 3.958038 1.975993
W 0.584009 3.787438 2.339151
W 1.703556 4.070484 2.300143
W 2.765115 4.001158 2.829307
W 4.559125 3.324178 1.066498
W 4.810642 4.607113 2.640455
W 4.808652 4.297070 1.569477
W 0.697305 5.358689 2.424362
W 0.242902 4.591136 1.380328
W 2.763700 5.754417 2.225212
W 2.700356 4.803993 1.786374
W 3.603897 4.568060 2.214088
W 4.109796 4.487694 0.898164
W 5.558305 5.257163 2.319787
W 0.804157 5.558995 1.142339
W 1.636272 5.110060 1.653183
W 1.926106 6.120940 1.361034
W 3.653873 6.505243 2.361736
W 3.664898 5.380682 1.662359
W 4.524631 5.654666 2.187309
W 6.412780 5.801472 2.831798
W 6.579665 6.837738 2.041994
W 1.359083 6.859859 3.746427
W 2.794247 6.917827 3.379177
W 3.906035 0.277206 3.188903
W 4.034490 6.564342 1.402365
W 4.999077 1.242124 2.833487
W 5.734298 6.702760 2.846201
W 5.859738 0.776563 3.330845
W 0.375614 1.040563 3.321089
W 1.373976 1.319659 3.051393
W 3.597891 0.422812 2.075907
W 4.011042 1.331696 3.447922
W 4.772237 2.193941 3.604179
W 5.758029 0.957104 4.461903
W 6.906982 2.109416 3.058465
W 1.449246 1.433608 4.339189
W 1.969308 2.404694 3.049882
W 2.953480 2.966310 3.182478
W 3.094175 1.203877 2.972929
W 5.002166 2.261782 2.498433
W 6.119668 1.791243 3.661902
W 0.356289 3.305592 3.415278
W 1.089573 2.330448 3.594489
W 1.412545 3.621269 3.439657
W 4.069470 2.658340 2.764042
W 3.980220 2.922827 4.030219
W 4.824376 3.317758 3.154907
W 5.873474 2.699870 2.946874
W 6.395881 4.639581 2.793977
W 0.608104 4.579444 3.088523
W 2.113955 4.576349 3.546700
W 2.879043 4.043886 4.008362
W 3.976860 4.035948 3.260614
W 4.945008 4.099500 3.886593
W 5.581197 4.065374 2.412339
W 0.196716 5.527743 3.473320
W 1.750410 5.148192 2.650462
W 1.932608 5.239875 4.409418
W 3.123218 4.984124 2.966609
W 4.184653 5.084905 3.347565
W 5.159809 5.252276 3.651376
W 6.250345 3.739411 3.325483
W 0.842269 6.563342 2.589725
W 1.284084 5.796994 3.807175
W 2.336996 5.754202 3.358112
W 3.438166 6.075714 3.404295
W 4.656051 6.076178 3.193540
W 4.791986 6.722416 2.251233
W 6.193518 5.680879 4.061926
W 6.824570 0.036046 3.061830
W 0.390512 6.636625 3.997037
W 2.155749 6.612177 5.373434
W 3.376438 0.111635 4.203125
W 4.377913 6.935417 4.722753
W 4.788027 0.315312 3.507496
W 6.076953 0.028344 4.189119
W 0.178898 0.536943 4.615098
W 0.562737 1.399382 5.099959
W 1.174489 0.547992 4.720048
W 1.954933 0.679848 3.604944
W 3.205481 1.153792 5.074448
W 4.151863 0.980113 4.402750
W 5.114945 1.172680 5.320086
W 0.445726 1.899992 4.193775
W 1.246816 3.509821 5.129654
W 2.407413 1.722973 3.685281
W 3.083473 2.721425 4.483992
W 3.743275 1.997950 4.434952
W 5.004539 1.713108 4.410134
W 6.845786 2.567850 5.360638
W 0.946682 2.500799 5.120651
W 1.551777 4.249266 4.456149
W 2.157584 3.353992 4.394631
W 2.867681 3.401736 5.438656
W 5.234116 2.720905 4.973337
W 5.581495 2.801885 4.006878
W 6.702194 2.678272 4.044672
W 0.520063 3.266791 4.425686
W 0.841035 4.847376 4.145851
W 2.573519 4.397333 5.083134
W 3.999813 4.189980 5.862009
W 3.819596 3.888296 4.706978
W 5.065833 4.465971 5.328869
W 6.507611 3.453765 4.744741
W 6.945763 4.103566 4.053017
W 0.345297 4.078130 5.159931
W 2.518874 5.330420 5.562168
W 3.119227 5.080535 4.485177
W 3.627319 5.222550 5.361599
W 4.267868 5.272783 4.500347
W 5.771468 4.679199 4.552906
W 0.394397 5.696473 4.633790
W 1.451014 6.255694 4.715579
W 2.488601 6.420526 4.296279
W 3.556349 6.168218 4.594274
W 5.196232 6.481238 4.202214
W 6.578093 6.359700 4.790413
W 6.615277 5.442470 5.434328
W 0.610353 6.728952 5.422422
W 0.815026 1.057066 6.248340
W 1.859291 0.701084 5.757608
W 3.057158 0.174184 5.292301
W 4.584552 6.226878 5.473367
W 5.671866 6.690232 5.278864
W 6.417847 0.710824 5.385147
W 6.387286 1.694131 5.061783
W 2.018462 1.888335 5.050280
W 2.227224 0.754836 4.578671
W 3.957396 2.704547 5.169584
