# T U K E
1359 -1269.097056 397.541456 -871.555600
1360 -1269.554602 398.004672 -871.549931
1361 -1269.958902 398.411285 -871.547617
1362 -1270.308652 398.760416 -871.548236
1363 -1270.602613 399.050483 -871.552130
1364 -1270.840351 399.281706 -871.558645
1365 -1271.021577 399.453601 -871.567976
1366 -1271.146500 399.566967 -871.579533
1367 -1271.215976 399.622510 -871.593466
1368 -1271.231138 399.621916 -871.609222
1369 -1271.193497 399.566988 -871.626509
1370 -1271.105418 399.460234 -871.645184
1371 -1270.969438 399.304497 -871.664942
1372 -1270.788924 399.103655 -871.685269
1373 -1270.567163 398.861038 -871.706125
1374 -1270.308505 398.581290 -871.727215
1375 -1270.016994 398.268714 -871.748280
1376 -1269.697217 397.927891 -871.769326
1377 -1269.353915 397.564040 -871.789874
1378 -1268.991906 397.182047 -871.809859
1379 -1268.616074 396.786549 -871.829525
1380 -1268.231272 396.382523 -871.848749
1381 -1267.842030 395.974819 -871.867212
1382 -1267.452804 395.567649 -871.885155
1383 -1267.067775 395.164856 -871.902918
1384 -1266.690793 394.770560 -871.920233
1385 -1266.324987 394.387658 -871.937329
1386 -1265.973686 394.019079 -871.954608
1387 -1265.639049 393.667199 -871.971850
1388 -1265.323410 393.334002 -871.989409
1389 -1265.028085 393.020644 -872.007441
1390 -1264.754485 392.728374 -872.026111
1391 -1264.502800 392.457404 -872.045395
1392 -1264.273412 392.207824 -872.065588
1393 -1264.066167 391.979142 -872.087025
1394 -1263.880221 391.770716 -872.109505
1395 -1263.714988 391.581537 -872.133451
1396 -1263.568824 391.409864 -872.158960
1397 -1263.440262 391.253955 -872.186307
1398 -1263.326947 391.111765 -872.215182
1399 -1263.227035 390.981155 -872.245880
1400 -1263.137758 390.859196 -872.278562
1401 -1263.056359 390.743262 -872.313096
1402 -1262.980092 390.630393 -872.349699
1403 -1262.905845 390.517292 -872.388553
1404 -1262.830493 390.401304 -872.429189
1405 -1262.750715 390.278707 -872.472008
1406 -1262.663265 390.146327 -872.516939
1407 -1262.564858 390.000717 -872.564142
1408 -1262.452134 389.838856 -872.613278
1409 -1262.321827 389.657938 -872.663889
1410 -1262.171176 389.454425 -872.716751
1411 -1261.997252 389.226304 -872.770948
1412 -1261.797212 388.970708 -872.826503
1413 -1261.569225 388.685900 -872.883325
1414 -1261.310934 388.370051 -872.940882
1415 -1261.021061 388.021545 -872.999515
1416 -1260.698396 387.639989 -873.058408
1417 -1260.342114 387.224803 -873.117311
1418 -1259.952078 386.775655 -873.176423
1419 -1259.528381 386.293706 -873.234674
1420 -1259.071572 385.779355 -873.292217
1421 -1258.583047 385.234130 -873.348918
1422 -1258.063804 384.659679 -873.404125
1423 -1257.516040 384.058079 -873.457961
1424 -1256.941665 383.431743 -873.509921
1425 -1256.342920 382.782899 -873.560021
1426 -1255.722390 382.114295 -873.608095
1427 -1255.082524 381.428615 -873.653909
1428 -1254.425899 380.728516 -873.697384
1429 -1253.755061 380.015919 -873.739142
1430 -1253.072186 379.293878 -873.778308
1431 -1252.379534 378.564221 -873.815313
1432 -1251.678971 377.828293 -873.850678
1433 -1250.971796 377.088471 -873.883324
1434 -1250.259798 376.345428 -873.914370
1435 -1249.543587 375.600688 -873.942899
1436 -1248.824412 374.854739 -873.969673
1437 -1248.102771 374.108037 -873.994734
1438 -1247.378856 373.361925 -874.016931
1439 -1246.653727 372.616127 -874.037600
1440 -1245.927298 371.871527 -874.055771
1441 -1245.200240 371.128612 -874.071628
1442 -1244.473209 370.388053 -874.085156
1443 -1243.747021 369.650948 -874.096073
1444 -1243.022527 368.918699 -874.103828
1445 -1242.301188 368.192740 -874.108448
1446 -1241.584614 367.474778 -874.109835
1447 -1240.874785 366.766949 -874.107836
1448 -1240.173735 366.072149 -874.101585
1449 -1239.484133 365.392576 -874.091557
1450 -1238.809054 364.731614 -874.077440
1451 -1238.151289 364.092314 -874.058975
1452 -1237.514228 363.478397 -874.035831
1453 -1236.901363 362.892669 -874.008695
1454 -1236.315788 362.339155 -873.976633
1455 -1235.761259 361.821089 -873.940170
1456 -1235.240979 361.341550 -873.899430
1457 -1234.758193 360.904045 -873.854148
1458 -1234.315329 360.510982 -873.804347
1459 -1233.915499 360.165228 -873.750271
1460 -1233.561064 359.868702 -873.692362
1461 -1233.253975 359.623079 -873.630896
1462 -1232.995659 359.429883 -873.565776
1463 -1232.787237 359.289996 -873.497241
1464 -1232.629001 359.203231 -873.425770
1465 -1232.521553 359.169860 -873.351693
1466 -1232.464086 359.189239 -873.274847
1467 -1232.456028 359.260145 -873.195883
1468 -1232.495989 359.381354 -873.114635
1469 -1232.582799 359.550849 -873.031950
1470 -1232.713940 359.766644 -872.947296
1471 -1232.887562 360.026325 -872.861236
1472 -1233.100827 360.327082 -872.773745
1473 -1233.351621 360.666411 -872.685211
1474 -1233.636878 361.041287 -872.595591
1475 -1233.954051 361.448841 -872.505210
1476 -1234.299930 361.885865 -872.414065
1477 -1234.671778 362.349979 -872.321799
1478 -1235.066751 362.837273 -872.229477
1479 -1235.481917 363.346161 -872.135756
1480 -1235.914903 363.873253 -872.041650
1481 -1236.362872 364.415924 -871.946948
1482 -1236.823522 364.972220 -871.851302
1483 -1237.294549 365.539057 -871.755491
1484 -1237.773764 366.114911 -871.658854
1485 -1238.259142 366.697551 -871.561591
1486 -1238.749030 367.284904 -871.464126
1487 -1239.241640 367.875687 -871.365953
1488 -1239.735496 368.468557 -871.266939
1489 -1240.229534 369.061745 -871.167790
1490 -1240.722687 369.654701 -871.067986
1491 -1241.213745 370.246023 -870.967723
1492 -1241.702292 370.835405 -870.866887
1493 -1242.187850 371.422359 -870.765491
1494 -1242.670030 372.006521 -870.663509
1495 -1243.148745 372.587585 -870.561160
1496 -1243.624029 373.165949 -870.458080
1497 -1244.096029 373.741460 -870.354568
1498 -1244.565260 374.314731 -870.250529
1499 -1245.032082 374.886066 -870.146017
1500 -1245.497082 375.456168 -870.040914
1501 -1245.961119 376.025373 -869.935745
1502 -1246.424860 376.594598 -869.830261
1503 -1246.888843 377.164392 -869.724451
1504 -1247.353900 377.735427 -869.618472
1505 -1247.820839 378.308345 -869.512495
1506 -1248.290529 378.883785 -869.406744
1507 -1248.763412 379.462421 -869.300991
1508 -1249.239907 380.044282 -869.195625
1509 -1249.720718 380.629887 -869.090831
1510 -1250.205983 381.219390 -868.986593
1511 -1250.695837 381.812729 -868.883108
1512 -1251.190612 382.409874 -868.780738
1513 -1251.689999 383.011069 -868.678930
1514 -1252.194021 383.615550 -868.578471
1515 -1252.702271 384.222739 -868.479532
1516 -1253.214439 384.832452 -868.381988
1517 -1253.729855 385.444109 -868.285746
1518 -1254.247890 386.056581 -868.191309
1519 -1254.767850 386.668862 -868.098989
1520 -1255.288636 387.280005 -868.008632
1521 -1255.809363 387.889095 -867.920269
1522 -1256.328810 388.494607 -867.834204
1523 -1256.845746 389.095137 -867.750609
1524 -1257.358869 389.689466 -867.669403
1525 -1257.866809 390.276068 -867.590741
1526 -1258.368200 390.853418 -867.514782
1527 -1258.861328 391.419534 -867.441795
1528 -1259.344670 391.972981 -867.371689
1529 -1259.816658 392.512023 -867.304635
1530 -1260.275596 393.035317 -867.240279
1531 -1260.719791 393.540546 -867.179246
1532 -1261.147535 394.026155 -867.121381
1533 -1261.557356 394.490376 -867.066980
1534 -1261.947483 394.931959 -867.015524
1535 -1262.316348 395.349076 -866.967272
1536 -1262.662510 395.739898 -866.922612
1537 -1262.984355 396.103512 -866.880843
1538 -1263.280714 396.437997 -866.842717
1539 -1263.550071 396.742502 -866.807568
1540 -1263.791362 397.015535 -866.775827
1541 -1264.003392 397.256304 -866.747088
1542 -1264.185239 397.463805 -866.721434
1543 -1264.336083 397.637614 -866.698469
1544 -1264.455455 397.776880 -866.678575
1545 -1264.542848 397.881117 -866.661732
1546 -1264.597720 397.950236 -866.647484
1547 -1264.619842 397.983753 -866.636089
1548 -1264.609242 397.982250 -866.626992
1549 -1264.566114 397.945639 -866.620476
1550 -1264.490707 397.874380 -866.616327
1551 -1264.383362 397.769177 -866.614185
1552 -1264.244722 397.630614 -866.614108
1553 -1264.075826 397.459822 -866.616004
1554 -1263.877505 397.258025 -866.619480
1555 -1263.650904 397.026322 -866.624583
1556 -1263.397568 396.766364 -866.631204
1557 -1263.118958 396.479893 -866.639065
1558 -1262.816813 396.168741 -866.648072
1559 -1262.492946 395.834955 -866.657992
1560 -1262.149456 395.480641 -866.668816
1561 -1261.788438 395.108150 -866.680288
1562 -1261.412485 394.720169 -866.692316
1563 -1261.023621 394.319475 -866.704146
1564 -1260.624680 393.908053 -866.716627
1565 -1260.218233 393.489106 -866.729127
1566 -1259.806626 393.064802 -866.741824
