# vx vy vz
-0.776941 -0.028145 2.200739
0.130089 0.157792 -0.671633
0.770901 1.688670 -0.981658
0.574753 -1.145378 -0.646591
0.015858 -0.589261 -0.085081
-1.360771 1.615538 0.954518
1.482090 -0.129726 -0.251426
1.135666 1.004339 0.163699
0.126092 -0.908946 -0.338547
1.499927 1.004888 -0.906387
-0.481489 0.025714 0.707705
-0.066399 0.118584 -1.162403
0.141197 0.248642 -1.170776
0.304027 -0.199764 0.203326
0.425050 -1.131296 0.119026
0.057845 -2.266334 0.885100
0.354287 -0.489611 -0.967394
-0.325287 -1.112449 -0.396141
-0.320874 1.248192 1.033391
0.274656 -0.854021 0.085917
0.304667 0.929170 -0.773342
0.061302 -1.917127 0.406146
0.605615 2.281468 0.508967
-1.340411 -1.071445 -0.294000
0.387094 -0.834278 -0.231410
1.161950 2.696039 0.379893
-1.605844 -1.009905 1.921056
-1.014515 -0.257452 -0.301472
-1.511138 1.586030 -0.472420
2.751087 -0.001839 -0.377582
-0.534828 -0.935183 0.184620
-0.575080 0.598882 -1.404136
-1.393032 1.773679 -0.434074
0.485638 -0.951666 -0.436214
-1.132610 -1.195776 1.673673
1.364508 0.334514 2.040850
-0.393251 0.060072 -0.177019
-1.478699 -1.139623 -0.308390
-0.949868 1.302510 0.761798
0.624709 -0.669585 -0.712804
-0.964757 0.252803 1.047009
0.766985 0.857249 -0.211946
-0.144264 0.128468 1.270633
-2.030013 -1.191893 0.982981
-0.642860 0.089908 -1.235160
0.350870 -0.006587 0.329291
0.582621 0.078652 1.077711
-0.011250 -0.381297 0.890753
0.244395 1.333042 -0.441840
0.633706 -1.449317 0.106495
1.181870 1.530405 0.776788
0.604920 0.360278 -0.717470
-0.074422 0.423676 -0.563723
-0.942545 -1.014634 -0.174580
1.042082 -0.591356 -2.156650
-0.009702 0.411717 -0.423617
1.126673 -1.722382 -0.177626
0.410765 0.448974 -1.675415
1.714395 -2.289756 -0.897590
-0.352813 -0.291070 1.323579
1.080250 0.148649 -0.846780
0.085361 0.061539 0.783298
-1.326778 -0.383089 1.556223
